"yearweek","q3","q1","q2","survey_date","total_attacks","attacks_located_IL","attacks_located_yesha","attacks_target_civilian","attacks_target_security_forces","total_killed","killed_located_IL","killed_located_yesha","killed_target_civilian","killed_target_security_forces","intifada","mean(temperature)","mean(humidity)","week_range"
"2002-W29",NA,NA,NA,NA,2,0,2,2,0,5,0,5,5,0,1,27.5946428571429,69.25,"2002-07-21 UTC--2002-07-27 UTC"
"2002-W30",2.1139489194499,3.16699410609037,3.83693516699411,2002-07-31,3,1,2,3,0,8,5,3,8,0,1,29.0851851851852,69.8518518518518,"2002-07-28 UTC--2002-08-03 UTC"
"2002-W31",NA,NA,NA,NA,4,1,3,4,0,11,7,4,11,0,1,28.2178571428571,72.6964285714286,"2002-08-04 UTC--2002-08-10 UTC"
"2002-W32",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,28.3607142857143,71.9464285714286,NA
"2002-W33",NA,NA,NA,NA,1,0,1,0,1,1,0,1,0,1,1,26.9142857142857,70.7678571428571,"2002-08-18 UTC--2002-08-24 UTC"
"2002-W34",2.13178294573643,3.20736434108527,3.80038759689922,2002-08-31,0,0,0,0,0,0,0,0,0,0,1,27.0767857142857,74.5178571428571,NA
"2002-W35",NA,NA,NA,NA,2,0,2,0,2,2,0,2,0,2,1,26.85,66.3571428571429,"2002-09-01 UTC--2002-09-07 UTC"
"2002-W36",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,26.2839285714286,65,NA
"2002-W37",NA,NA,NA,NA,4,2,2,4,0,8,6,2,8,0,1,26.6232142857143,61.1785714285714,"2002-09-15 UTC--2002-09-21 UTC"
"2002-W38",NA,NA,NA,NA,2,0,2,1,1,2,0,2,1,1,1,25.2125,72.5535714285714,"2002-09-22 UTC--2002-09-28 UTC"
"2002-W39",NA,3.06769825918762,3.65957446808511,2002-09-30,1,0,1,0,1,1,0,1,0,1,1,25.7327272727273,63.3818181818182,"2002-09-29 UTC--2002-10-05 UTC"
"2002-W40",NA,NA,NA,NA,2,1,1,2,0,2,1,1,2,0,1,24.4125,71.1785714285714,"2002-10-06 UTC--2002-10-12 UTC"
"2002-W41",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,23.7851851851852,76.5555555555556,NA
"2002-W42",NA,NA,NA,NA,1,1,0,1,0,13,13,0,13,0,1,22.6851851851852,73.4444444444444,"2002-10-20 UTC--2002-10-26 UTC"
"2002-W43",2.18774703557312,2.99407114624506,3.67193675889328,2002-10-30,2,0,2,2,0,6,0,6,6,0,1,21.4527272727273,71.6363636363636,"2002-10-27 UTC--2002-11-02 UTC"
"2002-W44",NA,NA,NA,NA,3,1,2,2,1,5,2,3,4,1,1,21.55,62.9285714285714,"2002-11-03 UTC--2002-11-09 UTC"
"2002-W45",NA,NA,NA,NA,2,1,1,2,0,17,5,12,17,0,1,19.6303571428571,61.6964285714286,"2002-11-10 UTC--2002-11-16 UTC"
"2002-W46",NA,NA,NA,NA,3,1,2,2,1,12,10,2,11,1,1,20.1821428571429,41.3214285714286,"2002-11-17 UTC--2002-11-23 UTC"
"2002-W47",2.13243761996161,3.1573896353167,3.71017274472169,2002-11-30,1,1,0,1,0,6,6,0,6,0,1,17.3964285714286,65.8214285714286,"2002-11-24 UTC--2002-11-30 UTC"
"2002-W48",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,17.2232142857143,69.3928571428571,NA
"2002-W49",NA,NA,NA,NA,1,0,1,0,1,2,0,2,0,2,1,15.4517857142857,67.0357142857143,"2002-12-08 UTC--2002-12-14 UTC"
"2002-W50",NA,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,1,14.3285714285714,76.4642857142857,"2002-12-15 UTC--2002-12-21 UTC"
"2002-W51",NA,NA,NA,NA,1,0,1,1,0,4,0,4,4,0,1,13.1553571428571,83.1071428571429,"2002-12-22 UTC--2002-12-28 UTC"
"2002-W52",2.15643564356436,3.14455445544554,3.75049504950495,2002-12-31,0,0,0,0,0,0,0,0,0,0,1,14.1,77.1666666666667,NA
"2003-W00",NA,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,1,14.15625,79.1875,"2002-12-29 UTC--2003-01-04 UTC"
"2003-W01",NA,NA,NA,NA,1,1,0,1,0,15,15,0,15,0,1,15.0777777777778,70.2222222222222,"2003-01-05 UTC--2003-01-11 UTC"
"2003-W02",NA,NA,NA,NA,3,2,1,2,1,3,2,1,2,1,1,15.1357142857143,70.7678571428571,"2003-01-12 UTC--2003-01-18 UTC"
"2003-W03",NA,NA,NA,NA,1,0,1,0,1,3,0,3,0,3,1,12.4857142857143,81.0357142857143,"2003-01-19 UTC--2003-01-25 UTC"
"2003-W04",2.13121272365805,3.23459244532803,3.69582504970179,2003-01-31,0,0,0,0,0,0,0,0,0,0,1,13.4589285714286,69.7678571428571,NA
"2003-W05",NA,NA,NA,NA,1,0,1,0,1,2,0,2,0,2,1,12.9203703703704,67.8518518518518,"2003-02-02 UTC--2003-02-08 UTC"
"2003-W06",NA,NA,NA,NA,2,0,2,0,2,6,0,6,0,6,1,12.1821428571429,80.7857142857143,"2003-02-09 UTC--2003-02-15 UTC"
"2003-W07",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,13.8607142857143,72.7321428571429,NA
"2003-W08",2.07509881422925,3.05928853754941,3.60671936758893,2003-02-28,1,0,1,0,1,1,0,1,0,1,1,11.0303571428571,78.4821428571429,"2003-02-23 UTC--2003-03-01 UTC"
"2003-W09",NA,NA,NA,NA,2,1,1,2,0,19,17,2,19,0,1,15.2875,69.9642857142857,"2003-03-02 UTC--2003-03-08 UTC"
"2003-W10",NA,NA,NA,NA,2,0,2,0,2,2,0,2,0,2,1,13.9732142857143,79.2678571428571,"2003-03-09 UTC--2003-03-15 UTC"
"2003-W11",NA,NA,NA,NA,2,0,2,1,1,2,0,2,1,1,1,14.1982142857143,78.0178571428571,"2003-03-16 UTC--2003-03-22 UTC"
"2003-W12",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,12.4178571428571,79.4107142857143,NA
"2003-W13",2.12749003984064,3.17330677290837,3.81075697211155,2003-03-31,0,0,0,0,0,0,0,0,0,0,1,20.0571428571429,64.625,NA
"2003-W14",NA,NA,NA,NA,1,0,1,0,1,2,0,2,0,2,1,17.5017857142857,74.2678571428571,"2003-04-06 UTC--2003-04-12 UTC"
"2003-W15",NA,NA,NA,NA,2,0,2,1,1,2,0,2,1,1,1,17.8285714285714,70.9642857142857,"2003-04-13 UTC--2003-04-19 UTC"
"2003-W16",NA,NA,NA,NA,2,1,1,1,1,2,1,1,1,1,1,19.0696428571429,63.7142857142857,"2003-04-20 UTC--2003-04-26 UTC"
"2003-W17",1.96274509803922,3.05098039215686,3.6,2003-04-30,0,0,0,0,0,0,0,0,0,0,1,19.5982142857143,60.9464285714286,NA
"2003-W18",NA,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,1,25.7910714285714,48.75,"2003-05-04 UTC--2003-05-10 UTC"
"2003-W19",NA,NA,NA,NA,2,0,2,2,0,3,0,3,3,0,1,25.1380952380952,60.6666666666667,"2003-05-11 UTC--2003-05-17 UTC"
"2003-W20",NA,NA,NA,NA,2,1,1,2,0,9,3,6,9,0,1,23.1481481481481,70.5740740740741,"2003-05-18 UTC--2003-05-24 UTC"
"2003-W21",NA,3.13717693836978,3.56858846918489,2003-05-30,0,0,0,0,0,0,0,0,0,0,1,24.0160714285714,62.0714285714286,NA
"2003-W22",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,23.1696428571429,73.1071428571429,NA
"2003-W23",NA,NA,NA,NA,5,1,4,2,3,24,17,7,18,6,1,24.1517857142857,73.8214285714286,"2003-06-08 UTC--2003-06-14 UTC"
"2003-W24",NA,NA,NA,NA,3,2,1,3,0,3,2,1,3,0,1,25.7089285714286,68.25,"2003-06-15 UTC--2003-06-21 UTC"
"2003-W25",NA,NA,NA,NA,2,1,1,1,1,2,1,1,1,1,1,25.7672727272727,72.4181818181818,"2003-06-22 UTC--2003-06-28 UTC"
"2003-W26",NA,2.87225548902196,3.50898203592814,2003-06-30,0,0,0,0,0,0,0,0,0,0,1,26.7196428571429,71.9821428571429,NA
"2003-W27",NA,NA,NA,NA,1,1,0,1,0,1,1,0,1,0,1,26.7321428571429,67.6071428571429,"2003-07-06 UTC--2003-07-12 UTC"
"2003-W28",NA,NA,NA,NA,1,1,0,1,0,1,1,0,1,0,1,25.754,73.04,"2003-07-13 UTC--2003-07-19 UTC"
"2003-W29",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,26.868,72.38,NA
"2003-W30",1.93873517786561,3.00197628458498,3.45059288537549,2003-07-31,0,0,0,0,0,0,0,0,0,0,1,27.0410714285714,73.2142857142857,NA
"2003-W31",NA,NA,NA,NA,1,0,1,0,1,1,0,1,0,1,1,27.4035714285714,72.7321428571429,"2003-08-03 UTC--2003-08-09 UTC"
"2003-W32",NA,NA,NA,NA,2,1,1,2,0,3,1,2,3,0,1,27.7517857142857,71.4821428571429,"2003-08-10 UTC--2003-08-16 UTC"
"2003-W33",NA,NA,NA,NA,1,1,0,1,0,23,23,0,23,0,1,27.1910714285714,74.5357142857143,"2003-08-17 UTC--2003-08-23 UTC"
"2003-W34",NA,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,1,26.9678571428571,72.8571428571429,"2003-08-24 UTC--2003-08-30 UTC"
"2003-W35",2.150390625,3.171875,3.9375,2003-08-31,2,0,2,0,2,2,0,2,0,2,1,27.3214285714286,66.5535714285714,"2003-08-31 UTC--2003-09-06 UTC"
"2003-W36",NA,NA,NA,NA,2,2,0,2,0,16,16,0,16,0,1,25.7267857142857,64.5,"2003-09-07 UTC--2003-09-13 UTC"
"2003-W37",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,25.3660714285714,67,NA
"2003-W38",NA,NA,NA,NA,2,0,2,1,1,3,0,3,2,1,1,24.3410714285714,68.9107142857143,"2003-09-21 UTC--2003-09-27 UTC"
"2003-W39",2.0875486381323,3.0408560311284,3.77821011673152,2003-09-30,1,1,0,1,0,21,21,0,21,0,1,23.8375,68.6428571428571,"2003-09-28 UTC--2003-10-04 UTC"
"2003-W40",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,24.3660714285714,73.4285714285714,NA
"2003-W41",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,21.9857142857143,69.8928571428571,NA
"2003-W42",NA,NA,NA,NA,2,0,2,0,2,6,0,6,0,6,1,23.5678571428571,72.25,"2003-10-19 UTC--2003-10-25 UTC"
"2003-W43",2.03571428571429,3.1984126984127,3.76388888888889,2003-10-30,0,0,0,0,0,0,0,0,0,0,1,22.2821428571429,63.4821428571429,NA
"2003-W44",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,21.9357142857143,74.8928571428571,NA
"2003-W45",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,17.825,73.0357142857143,NA
"2003-W46",NA,NA,NA,NA,2,0,2,1,1,4,0,4,2,2,1,17.4982142857143,69.9285714285714,"2003-11-16 UTC--2003-11-22 UTC"
"2003-W47",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,17.3732142857143,74.0892857142857,NA
"2003-W48",1.88062622309198,2.94911937377691,3.72602739726027,2003-11-30,0,0,0,0,0,0,0,0,0,0,1,14.5821428571429,84.3392857142857,NA
"2003-W49",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,15.875,71.375,NA
"2003-W50",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,15.5,69.4107142857143,NA
"2003-W51",NA,NA,NA,NA,2,1,1,1,1,6,4,2,4,2,1,13.1517857142857,64.6607142857143,"2003-12-21 UTC--2003-12-27 UTC"
"2003-W52",2.01571709233792,3.13948919449902,3.69548133595285,2003-12-31,0,0,0,0,0,0,0,0,0,0,1,13.484375,71.6875,NA
"2004-W00",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,12.359375,74.78125,NA
"2004-W01",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,11.8267857142857,79.4285714285714,NA
"2004-W02",NA,NA,NA,NA,2,0,2,1,1,5,0,5,1,4,1,13.3660714285714,81.2321428571429,"2004-01-11 UTC--2004-01-17 UTC"
"2004-W03",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,12.7964285714286,74.2678571428571,NA
"2004-W04",1.94234592445328,2.98807157057654,3.779324055666,2004-01-29,1,1,0,1,0,11,11,0,11,0,1,12.8535714285714,72.5892857142857,"2004-01-25 UTC--2004-01-31 UTC"
"2004-W05",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,12.1785714285714,80.9821428571429,NA
"2004-W06",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,13.4642857142857,77,NA
"2004-W07",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,12.3517857142857,76.5714285714286,NA
"2004-W08",NA,NA,NA,NA,3,2,1,2,1,11,10,1,10,1,1,14.5714285714286,69.2678571428571,"2004-02-22 UTC--2004-02-28 UTC"
"2004-W09",2.12156862745098,3.14705882352941,3.84705882352941,2004-02-29,0,0,0,0,0,0,0,0,0,0,1,20.7232142857143,60.3928571428571,NA
"2004-W10",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,13.5857142857143,72.3035714285714,NA
"2004-W11",NA,NA,NA,NA,2,1,1,2,0,11,10,1,11,0,1,12.9285714285714,69.0178571428571,"2004-03-14 UTC--2004-03-20 UTC"
"2004-W12",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,17.6928571428571,63.4821428571429,NA
"2004-W13",2.11857707509881,2.98616600790514,3.72727272727273,2004-03-31,1,0,1,1,0,1,0,1,1,0,1,18.1553571428571,76.6607142857143,"2004-03-28 UTC--2004-04-03 UTC"
"2004-W14",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,16.3267857142857,72.5357142857143,NA
"2004-W15",NA,NA,NA,NA,1,1,0,0,1,1,1,0,0,1,1,17.9321428571429,65.625,"2004-04-11 UTC--2004-04-17 UTC"
"2004-W16",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,18.1375,66.875,NA
"2004-W17",2.13725490196078,3.06862745098039,3.76078431372549,2004-04-30,1,0,1,0,1,1,0,1,0,1,1,20.2839285714286,59.3035714285714,"2004-04-25 UTC--2004-05-01 UTC"
"2004-W18",NA,NA,NA,NA,1,0,1,1,0,5,0,5,5,0,1,21.5660714285714,64.8571428571429,"2004-05-02 UTC--2004-05-08 UTC"
"2004-W19",NA,NA,NA,NA,3,0,3,0,3,13,0,13,0,13,1,22.4839285714286,59.6785714285714,"2004-05-09 UTC--2004-05-15 UTC"
"2004-W20",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,20.4857142857143,62.8392857142857,NA
"2004-W21",NA,NA,NA,NA,1,0,1,0,1,1,0,1,0,1,1,20.3625,70.4464285714286,"2004-05-23 UTC--2004-05-29 UTC"
"2004-W22",1.98651252408478,2.88824662813102,3.59922928709056,2004-05-31,0,0,0,0,0,0,0,0,0,0,1,22.275,67.8392857142857,NA
"2004-W23",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,23.2696428571429,70.375,NA
"2004-W24",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,24.5071428571429,73.6785714285714,NA
"2004-W25",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,24.7963636363636,71.6545454545455,NA
"2004-W26",1.96660117878193,2.83889980353635,3.54616895874263,2004-06-30,3,1,2,2,1,4,2,2,3,1,1,25.5017857142857,72.0714285714286,"2004-06-27 UTC--2004-07-03 UTC"
"2004-W27",NA,NA,NA,NA,2,0,2,1,1,2,0,2,1,1,1,26.5053571428571,74.5,"2004-07-04 UTC--2004-07-10 UTC"
"2004-W28",NA,NA,NA,NA,1,1,0,1,0,1,1,0,1,0,1,27.2785714285714,69.3571428571429,"2004-07-11 UTC--2004-07-17 UTC"
"2004-W29",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,26.5053571428571,71.0714285714286,NA
"2004-W30",2.18613861386139,3.13069306930693,3.73465346534653,2004-07-31,0,0,0,0,0,0,0,0,0,0,1,27.1571428571429,73.2857142857143,NA
"2004-W31",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,27.1,69.1964285714286,NA
"2004-W32",NA,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,1,27.1660714285714,71.0178571428571,"2004-08-08 UTC--2004-08-14 UTC"
"2004-W33",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,26.5811320754717,70.8301886792453,NA
"2004-W34",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,26.7571428571429,74.2678571428571,NA
"2004-W35",2.04166666666667,2.9265873015873,3.6031746031746,2004-08-31,1,1,0,1,0,16,16,0,16,0,1,26.2714285714286,69.1785714285714,"2004-08-29 UTC--2004-09-04 UTC"
"2004-W36",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,26.3696428571429,69,NA
"2004-W37",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,24.3035714285714,66.9107142857143,NA
"2004-W38",NA,NA,NA,NA,3,0,3,2,1,6,0,6,3,3,1,24.9196428571429,74.3928571428571,"2004-09-19 UTC--2004-09-25 UTC"
"2004-W39",2.00757575757576,2.87121212121212,3.57954545454545,2004-09-28,3,1,2,2,1,5,2,3,4,1,1,25.4035714285714,78.3928571428571,"2004-09-26 UTC--2004-10-02 UTC"
"2004-W40",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,23.225,69.9642857142857,NA
"2004-W41",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,24.0660714285714,72.7678571428571,NA
"2004-W42",NA,NA,NA,NA,2,0,2,0,2,2,0,2,0,2,1,23.4357142857143,77.3571428571429,"2004-10-17 UTC--2004-10-23 UTC"
"2004-W43",2.00394477317554,2.96646942800789,3.59960552268245,2004-10-30,1,0,1,0,1,1,0,1,0,1,1,23.3160714285714,74.5,"2004-10-24 UTC--2004-10-30 UTC"
"2004-W44",NA,NA,NA,NA,1,1,0,1,0,3,3,0,3,0,1,23.0254545454545,58.0545454545455,"2004-10-31 UTC--2004-11-06 UTC"
"2004-W45",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,20.6107142857143,70.0714285714286,NA
"2004-W46",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,20.2625,68.3035714285714,NA
"2004-W47",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,15.1264150943396,61.9245283018868,NA
"2004-W48",1.92745098039216,3.02549019607843,3.62156862745098,2004-11-30,0,0,0,0,0,0,0,0,0,0,1,13.9214285714286,57.875,NA
"2004-W49",NA,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,1,14.5053571428571,69.4285714285714,"2004-12-05 UTC--2004-12-11 UTC"
"2004-W50",NA,NA,NA,NA,1,0,1,0,1,5,0,5,0,5,1,10.4982142857143,68.8928571428571,"2004-12-12 UTC--2004-12-18 UTC"
