"","yearweek"
"361","2001-W02"
"362","2001-W03"
"363","2001-W04"
"364","2001-W05"
"365","2001-W06"
"366","2001-W07"
"367","2001-W08"
"368","2001-W09"
"369","2001-W10"
"370","2001-W11"
"371","2001-W12"
"372","2001-W13"
"373","2001-W14"
"374","2001-W15"
"375","2001-W16"
"376","2001-W17"
"377","2001-W18"
"378","2001-W19"
"379","2001-W20"
"380","2001-W21"
"381","2001-W22"
"382","2001-W23"
"383","2001-W24"
"384","2001-W25"
"385","2001-W26"
"386","2001-W27"
"387","2001-W28"
"388","2001-W29"
"389","2001-W30"
"390","2001-W31"
"391","2001-W32"
"392","2001-W33"
"393","2001-W34"
"394","2001-W35"
"395","2001-W36"
"396","2001-W37"
"397","2001-W38"
"398","2001-W39"
"399","2001-W40"
"400","2001-W41"
"401","2001-W42"
"402","2001-W43"
"403","2001-W44"
"404","2001-W45"
"405","2001-W46"
"406","2001-W47"
"407","2001-W48"
"408","2001-W49"
"409","2001-W50"
"410","2001-W51"
"411","2001-W52"
"412","2002-W00"
"413","2002-W01"
"414","2002-W02"
"415","2002-W03"
"416","2002-W04"
"417","2002-W05"
"418","2002-W06"
"419","2002-W07"
"420","2002-W08"
"421","2002-W09"
"422","2002-W10"
"423","2002-W11"
"424","2002-W12"
"425","2002-W13"
"426","2002-W14"
"427","2002-W15"
"428","2002-W16"
"429","2002-W17"
"430","2002-W18"
"431","2002-W19"
"432","2002-W20"
"433","2002-W21"
"434","2002-W22"
"435","2002-W23"
"436","2002-W24"
"437","2002-W25"
"438","2002-W26"
"439","2002-W27"
"440","2002-W28"
"441","2002-W29"
"442","2002-W30"
"443","2002-W31"
"444","2002-W32"
"445","2002-W33"
"446","2002-W34"
"447","2002-W35"
"448","2002-W36"
"449","2002-W37"
"450","2002-W38"
"451","2002-W39"
"452","2002-W40"
"453","2002-W41"
"454","2002-W42"
"455","2002-W43"
"456","2002-W44"
"457","2002-W45"
"458","2002-W46"
"459","2002-W47"
"460","2002-W48"
"461","2002-W49"
"462","2002-W50"
"463","2002-W51"
"464","2002-W52"
"465","2003-W00"
"466","2003-W01"
"467","2003-W02"
"468","2003-W03"
"469","2003-W04"
"470","2003-W05"
"471","2003-W06"
"472","2003-W07"
"473","2003-W08"
"474","2003-W09"
"475","2003-W10"
"476","2003-W11"
"477","2003-W12"
"478","2003-W13"
"479","2003-W14"
"480","2003-W15"
"481","2003-W16"
"482","2003-W17"
"483","2003-W18"
"484","2003-W19"
"485","2003-W20"
"486","2003-W21"
"487","2003-W22"
"488","2003-W23"
"489","2003-W24"
"490","2003-W25"
"491","2003-W26"
"492","2003-W27"
"493","2003-W28"
"494","2003-W29"
"495","2003-W30"
"496","2003-W31"
"497","2003-W32"
"498","2003-W33"
"499","2003-W34"
"500","2003-W35"
"501","2003-W36"
"502","2003-W37"
"503","2003-W38"
"504","2003-W39"
"505","2003-W40"
"506","2003-W41"
"507","2003-W42"
"508","2003-W43"
"509","2003-W44"
"510","2003-W45"
"511","2003-W46"
"512","2003-W47"
"513","2003-W48"
"514","2003-W49"
"515","2003-W50"
"516","2003-W51"
"517","2003-W52"
"518","2004-W00"
"519","2004-W01"
"520","2004-W02"
"521","2004-W03"
"522","2004-W04"
"523","2004-W05"
"524","2004-W06"
"525","2004-W07"
"526","2004-W08"
"527","2004-W09"
"528","2004-W10"
"529","2004-W11"
"530","2004-W12"
"531","2004-W13"
"532","2004-W14"
"533","2004-W15"
"534","2004-W16"
"535","2004-W17"
"536","2004-W18"
"537","2004-W19"
"538","2004-W20"
"539","2004-W21"
"540","2004-W22"
"541","2004-W23"
"542","2004-W24"
"543","2004-W25"
"544","2004-W26"
"545","2004-W27"
"546","2004-W28"
"547","2004-W29"
"548","2004-W30"
"549","2004-W31"
"550","2004-W32"
"551","2004-W33"
"552","2004-W34"
"553","2004-W35"
"554","2004-W36"
"555","2004-W37"
"556","2004-W38"
"557","2004-W39"
"558","2004-W40"
"559","2004-W41"
"560","2004-W42"
"561","2004-W43"
"562","2004-W44"
"563","2004-W45"
"564","2004-W46"
"565","2004-W47"
"566","2004-W48"
"567","2004-W49"
"568","2004-W50"
"569","2004-W51"
"570","2004-W52"
"571","2005-W00"
"572","2005-W01"
"573","2005-W02"
"574","2005-W03"
"575","2005-W04"
"576","2005-W05"
"577","2005-W06"
"578","2005-W07"
"579","2005-W08"
"580","2005-W09"
"581","2005-W10"
"582","2005-W11"
"583","2005-W12"
"584","2005-W13"
"585","2005-W14"
"586","2005-W15"
"587","2005-W16"
"588","2005-W17"
"589","2005-W18"
"590","2005-W19"
"591","2005-W20"
"592","2005-W21"
"593","2005-W22"
"594","2005-W23"
"595","2005-W24"
"596","2005-W25"
"597","2005-W26"
"598","2005-W27"
"599","2005-W28"
"600","2005-W29"
"601","2005-W30"
"602","2005-W31"
"603","2005-W32"
"604","2005-W33"
"605","2005-W34"
"606","2005-W35"
"607","2005-W36"
"608","2005-W37"
"609","2005-W38"
"610","2005-W39"
"611","2005-W40"
"612","2005-W41"
"613","2005-W42"
"614","2005-W43"
"615","2005-W44"
"616","2005-W45"
"617","2005-W46"
"618","2005-W47"
"619","2005-W48"
"620","2005-W49"
"621","2005-W50"
"622","2005-W51"
"623","2005-W52"
"624","2006-W01"
"625","2006-W02"
"626","2006-W03"
"627","2006-W04"
"628","2006-W05"
"629","2006-W06"
"630","2006-W07"
"631","2006-W08"
"632","2006-W09"
"633","2006-W10"
"634","2006-W11"
"635","2006-W12"
"636","2006-W13"
"637","2006-W14"
"638","2006-W15"
"639","2006-W16"
"640","2006-W17"
"641","2006-W18"
"642","2006-W19"
"643","2006-W20"
"644","2006-W21"
"645","2006-W22"
"646","2006-W23"
"647","2006-W24"
"648","2006-W25"
"649","2006-W26"
"650","2006-W27"
"651","2006-W28"
"652","2006-W29"
"653","2006-W30"
"654","2006-W31"
"655","2006-W32"
"656","2006-W33"
"657","2006-W34"
"658","2006-W35"
"659","2006-W36"
"660","2006-W37"
"661","2006-W38"
"662","2006-W39"
"663","2006-W40"
"664","2006-W41"
"665","2006-W42"
"666","2006-W43"
"667","2006-W44"
"668","2006-W45"
"669","2006-W46"
"670","2006-W47"
"671","2006-W48"
"672","2006-W49"
"673","2006-W50"
"674","2006-W51"
"675","2006-W52"
"676","2006-W53"
"677","2007-W00"
"678","2007-W01"
"679","2007-W02"
"680","2007-W03"
"681","2007-W04"
"682","2007-W05"
"683","2007-W06"
"684","2007-W07"
"685","2007-W08"
"686","2007-W09"
"687","2007-W10"
"688","2007-W11"
"689","2007-W12"
"690","2007-W13"
"691","2007-W14"
"692","2007-W15"
"693","2007-W16"
"694","2007-W17"
"695","2007-W18"
"696","2007-W19"
"697","2007-W20"
"698","2007-W21"
"699","2007-W22"
"700","2007-W23"
"701","2007-W24"
"702","2007-W25"
"703","2007-W26"
"704","2007-W27"
"705","2007-W28"
"706","2007-W29"
"707","2007-W30"
"708","2007-W31"
"709","2007-W32"
"710","2007-W33"
"711","2007-W34"
"712","2007-W35"
"713","2007-W36"
"714","2007-W37"
"715","2007-W38"
"716","2007-W39"
"717","2007-W40"
"718","2007-W41"
"719","2007-W42"
"720","2007-W43"
"721","2007-W44"
"722","2007-W45"
"723","2007-W46"
"724","2007-W47"
"725","2007-W48"
"726","2007-W49"
"727","2007-W50"
"728","2007-W51"
"729","2007-W52"
"730","2008-W00"
"731","2008-W01"
"732","2008-W02"
"733","2008-W03"
"734","2008-W04"
"735","2008-W05"
"736","2008-W06"
"737","2008-W07"
"738","2008-W08"
"739","2008-W09"
"740","2008-W10"
"741","2008-W11"
"742","2008-W12"
"743","2008-W13"
"744","2008-W14"
"745","2008-W15"
"746","2008-W16"
"747","2008-W17"
"748","2008-W18"
"749","2008-W19"
"750","2008-W20"
"751","2008-W21"
"752","2008-W22"
"753","2008-W23"
"754","2008-W24"
"755","2008-W25"
"756","2008-W26"
"757","2008-W27"
"758","2008-W28"
"759","2008-W29"
"760","2008-W30"
"761","2008-W31"
"762","2008-W32"
"763","2008-W33"
"764","2008-W34"
"765","2008-W35"
"766","2008-W36"
"767","2008-W37"
"768","2008-W38"
"769","2008-W39"
"770","2008-W40"
"771","2008-W41"
"772","2008-W42"
"773","2008-W43"
"774","2008-W44"
"775","2008-W45"
"776","2008-W46"
"777","2008-W47"
"778","2008-W48"
"779","2008-W49"
"780","2008-W50"
"781","2008-W51"
"782","2008-W52"
"783","2009-W00"
"784","2009-W01"
"785","2009-W02"
"786","2009-W03"
"787","2009-W04"
"788","2009-W05"
"789","2009-W06"
"790","2009-W07"
"791","2009-W08"
"792","2009-W09"
"793","2009-W10"
"794","2009-W11"
"795","2009-W12"
"796","2009-W13"
"797","2009-W14"
"798","2009-W15"
"799","2009-W16"
"800","2009-W17"
"801","2009-W18"
"802","2009-W19"
"803","2009-W20"
"804","2009-W21"
"805","2009-W22"
"806","2009-W23"
"807","2009-W24"
"808","2009-W25"
"809","2009-W26"
"810","2009-W27"
"811","2009-W28"
"812","2009-W29"
"813","2009-W30"
"814","2009-W31"
"815","2009-W32"
"816","2009-W33"
"817","2009-W34"
"818","2009-W35"
"819","2009-W36"
"820","2009-W37"
"821","2009-W38"
"822","2009-W39"
"823","2009-W40"
"824","2009-W41"
"825","2009-W42"
"826","2009-W43"
"827","2009-W44"
"828","2009-W45"
"829","2009-W46"
"830","2009-W47"
"831","2009-W48"
"832","2009-W49"
"833","2009-W50"
"834","2009-W51"
"835","2009-W52"
"836","2010-W00"
"837","2010-W01"
"838","2010-W02"
"839","2010-W03"
"840","2010-W04"
"841","2010-W05"
"842","2010-W06"
"843","2010-W07"
"844","2010-W08"
"845","2010-W09"
"846","2010-W10"
"847","2010-W11"
"848","2010-W12"
"849","2010-W13"
"850","2010-W14"
"851","2010-W15"
"852","2010-W16"
"853","2010-W17"
"854","2010-W18"
"855","2010-W19"
"856","2010-W20"
"857","2010-W21"
"858","2010-W22"
"859","2010-W23"
"860","2010-W24"
"861","2010-W25"
"862","2010-W26"
"863","2010-W27"
"864","2010-W28"
"865","2010-W29"
"866","2010-W30"
"867","2010-W31"
"868","2010-W32"
"869","2010-W33"
"870","2010-W34"
"871","2010-W35"
"872","2010-W36"
"873","2010-W37"
"874","2010-W38"
"875","2010-W39"
"876","2010-W40"
"877","2010-W41"
"878","2010-W42"
"879","2010-W43"
"880","2010-W44"
"881","2010-W45"
"882","2010-W46"
"883","2010-W47"
"884","2010-W48"
"885","2010-W49"
"886","2010-W50"
"887","2010-W51"
"888","2010-W52"
"889","2011-W00"
"890","2011-W01"
"891","2011-W02"
"892","2011-W03"
"893","2011-W04"
"894","2011-W05"
"895","2011-W06"
"896","2011-W07"
"897","2011-W08"
"898","2011-W09"
"899","2011-W10"
"900","2011-W11"
"901","2011-W12"
"902","2011-W13"
"903","2011-W14"
"904","2011-W15"
"905","2011-W16"
"906","2011-W17"
"907","2011-W18"
"908","2011-W19"
"909","2011-W20"
"910","2011-W21"
"911","2011-W22"
"912","2011-W23"
"913","2011-W24"
"914","2011-W25"
"915","2011-W26"
"916","2011-W27"
"917","2011-W28"
"918","2011-W29"
"919","2011-W30"
"920","2011-W31"
"921","2011-W32"
"922","2011-W33"
"923","2011-W34"
"924","2011-W35"
"925","2011-W36"
"926","2011-W37"
"927","2011-W38"
"928","2011-W39"
"929","2011-W40"
"930","2011-W41"
"931","2011-W42"
"932","2011-W43"
"933","2011-W44"
"934","2011-W45"
"935","2011-W46"
"936","2011-W47"
"937","2011-W48"
"938","2011-W49"
"939","2011-W50"
"940","2011-W51"
"941","2011-W52"
"942","2012-W01"
"943","2012-W02"
"944","2012-W03"
"945","2012-W04"
"946","2012-W05"
"947","2012-W06"
"948","2012-W07"
"949","2012-W08"
"950","2012-W09"
"951","2012-W10"
"952","2012-W11"
"953","2012-W12"
"954","2012-W13"
"955","2012-W14"
"956","2012-W15"
"957","2012-W16"
"958","2012-W17"
"959","2012-W18"
"960","2012-W19"
"961","2012-W20"
"962","2012-W21"
"963","2012-W22"
"964","2012-W23"
"965","2012-W24"
"966","2012-W25"
"967","2012-W26"
"968","2012-W27"
"969","2012-W28"
"970","2012-W29"
"971","2012-W30"
"972","2012-W31"
"973","2012-W32"
"974","2012-W33"
"975","2012-W34"
"976","2012-W35"
"977","2012-W36"
"978","2012-W37"
"979","2012-W38"
"980","2012-W39"
"981","2012-W40"
"982","2012-W41"
"983","2012-W42"
"984","2012-W43"
"985","2012-W44"
"986","2012-W45"
"987","2012-W46"
"988","2012-W47"
"989","2012-W48"
"990","2012-W49"
"991","2012-W50"
"992","2012-W51"
"993","2012-W52"
"994","2012-W53"
"995","2013-W00"
"996","2013-W01"
"997","2013-W02"
"998","2013-W03"
"999","2013-W04"
"1000","2013-W05"
"1001","2013-W06"
"1002","2013-W07"
"1003","2013-W08"
"1004","2013-W09"
"1005","2013-W10"
"1006","2013-W11"
"1007","2013-W12"
"1008","2013-W13"
"1009","2013-W14"
"1010","2013-W15"
"1011","2013-W16"
"1012","2013-W17"
"1013","2013-W18"
"1014","2013-W19"
"1015","2013-W20"
"1016","2013-W21"
"1017","2013-W22"
"1018","2013-W23"
"1019","2013-W24"
"1020","2013-W25"
"1021","2013-W26"
"1022","2013-W27"
"1023","2013-W28"
"1024","2013-W29"
"1025","2013-W30"
"1026","2013-W31"
"1027","2013-W32"
"1028","2013-W33"
"1029","2013-W34"
"1030","2013-W35"
"1031","2013-W36"
"1032","2013-W37"
"1033","2013-W38"
"1034","2013-W39"
"1035","2013-W40"
"1036","2013-W41"
"1037","2013-W42"
"1038","2013-W43"
"1039","2013-W44"
"1040","2013-W45"
"1041","2013-W46"
"1042","2013-W47"
"1043","2013-W48"
"1044","2013-W49"
"1045","2013-W50"
"1046","2013-W51"
"1047","2013-W52"
"1048","2014-W00"
"1049","2014-W01"
"1050","2014-W02"
"1051","2014-W03"
"1052","2014-W04"
"1053","2014-W05"
"1054","2014-W06"
"1055","2014-W07"
"1056","2014-W08"
"1057","2014-W09"
"1058","2014-W10"
"1059","2014-W11"
"1060","2014-W12"
"1061","2014-W13"
"1062","2014-W14"
"1063","2014-W15"
"1064","2014-W16"
"1065","2014-W17"
"1066","2014-W18"
"1067","2014-W19"
"1068","2014-W20"
"1069","2014-W21"
"1070","2014-W22"
"1071","2014-W23"
"1072","2014-W24"
"1073","2014-W25"
"1074","2014-W26"
"1075","2014-W27"
"1076","2014-W28"
"1077","2014-W29"
"1078","2014-W30"
"1079","2014-W31"
"1080","2014-W32"
"1081","2014-W33"
"1082","2014-W34"
"1083","2014-W35"
"1084","2014-W36"
"1085","2014-W37"
"1086","2014-W38"
"1087","2014-W39"
"1088","2014-W40"
"1089","2014-W41"
"1090","2014-W42"
"1091","2014-W43"
"1092","2014-W44"
"1093","2014-W45"
"1094","2014-W46"
"1095","2014-W47"
"1096","2014-W48"
"1097","2014-W49"
"1098","2014-W50"
"1099","2014-W51"
"1100","2014-W52"
"1101","2015-W00"
"1102","2015-W01"
"1103","2015-W02"
"1104","2015-W03"
"1105","2015-W04"
"1106","2015-W05"
"1107","2015-W06"
"1108","2015-W07"
"1109","2015-W08"
"1110","2015-W09"
"1111","2015-W10"
"1112","2015-W11"
"1113","2015-W12"
"1114","2015-W13"
"1115","2015-W14"
"1116","2015-W15"
"1117","2015-W16"
"1118","2015-W17"
"1119","2015-W18"
"1120","2015-W19"
"1121","2015-W20"
"1122","2015-W21"
"1123","2015-W22"
"1124","2015-W23"
"1125","2015-W24"
"1126","2015-W25"
"1127","2015-W26"
"1128","2015-W27"
"1129","2015-W28"
"1130","2015-W29"
"1131","2015-W30"
"1132","2015-W31"
"1133","2015-W32"
"1134","2015-W33"
"1135","2015-W34"
"1136","2015-W35"
"1137","2015-W36"
"1138","2015-W37"
"1139","2015-W38"
"1140","2015-W39"
"1141","2015-W40"
"1142","2015-W41"
"1143","2015-W42"
"1144","2015-W43"
"1145","2015-W44"
"1146","2015-W45"
"1147","2015-W46"
"1148","2015-W47"
"1149","2015-W48"
"1150","2015-W49"
"1151","2015-W50"
"1152","2015-W51"
"1153","2015-W52"
"1154","2016-W00"
"1155","2016-W01"
"1156","2016-W02"
"1157","2016-W03"
"1158","2016-W04"
"1159","2016-W05"
"1160","2016-W06"
"1161","2016-W07"
"1162","2016-W08"
"1163","2016-W09"
"1164","2016-W10"
"1165","2016-W11"
"1166","2016-W12"
"1167","2016-W13"
"1168","2016-W14"
"1169","2016-W15"
"1170","2016-W16"
