"","yearweek","q3","q1","q2","survey_date","total_attacks","attacks_located_IL","attacks_located_yesha","attacks_target_civilian","attacks_target_security_forces","total_killed","killed_located_IL","killed_located_yesha","killed_target_civilian","killed_target_security_forces","intifada","temperature","mean(humidity)","FO_total_attacks","FO_attacks_located_IL","FO_attacks_located_yesha","FO_attacks_target_civilian","FO_attacks_target_security_forces","FO_total_killed","FO_killed_located_IL","FO_killed_located_yesha","FO_killed_target_civilian","FO_killed_target_security_forces"
"22","1994-W35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.51428571,70.82142857,0,0,0,0,0,0,0,0,0,0
"23","1994-W36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.46071429,71.46428571,0,0,0,0,0,0,0,0,0,0
"24","1994-W37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.50892857,69.41071429,0,0,0,0,0,0,0,0,0,0
"25","1994-W38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.53214286,72.76785714,0,0,0,0,0,0,0,0,0,0
"26","1994-W39",NA,2.898203593,NA,"28/09/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.55714286,69.80357143,0,0,0,0,0,0,0,0,0,0
"27","1994-W40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.25892857,67.35714286,0,0,0,0,0,0,0,0,0,0
"28","1994-W41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.30714286,53.85714286,0,0,0,0,0,0,0,0,0,0
"29","1994-W42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.91964286,75.55357143,1,1,0,1,0,22,22,0,22,0
"30","1994-W43",NA,2.928429423,NA,"23/10/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.84821429,69.94642857,0,0,0,0,0,0,0,0,0,0
"31","1994-W44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.49464286,69.14285714,0,0,0,0,0,0,0,0,0,0
"32","1994-W45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.66428571,60.51785714,1,0,1,0,1,3,0,3,0,3
"33","1994-W46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97272727,79.50909091,0,0,0,0,0,0,0,0,0,0
"34","1994-W47",NA,2.834661355,NA,"23/11/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.92678571,67.42857143,0,0,0,0,0,0,0,0,0,0
"35","1994-W48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.28392857,76,0,0,0,0,0,0,0,0,0,0
"36","1994-W49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9125,65.17857143,0,0,0,0,0,0,0,0,0,0
"37","1994-W50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.04821429,72.01785714,0,0,0,0,0,0,0,0,0,0
"38","1994-W51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.15,71.03571429,0,0,0,0,0,0,0,0,0,0
"39","1994-W52",NA,2.972055888,NA,"25/12/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.15,73.875,0,0,0,0,0,0,0,0,0,0
"40","1995-W01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.19107143,81.69642857,0,0,0,0,0,0,0,0,0,0
"41","1995-W02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.275,75.57142857,0,0,0,0,0,0,0,0,0,0
"42","1995-W03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.42857143,78.64285714,0,0,0,0,0,0,0,0,0,0
"43","1995-W04",NA,3.127236581,NA,"26/01/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.95178571,79.53571429,1,1,0,0,1,21,21,0,0,21
"44","1995-W05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.87142857,80,0,0,0,0,0,0,0,0,0,0
"45","1995-W06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.59107143,78.10714286,0,0,0,0,0,0,0,0,0,0
"46","1995-W07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.34464286,70.51785714,0,0,0,0,0,0,0,0,0,0
"47","1995-W08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.07857143,80.64285714,0,0,0,0,0,0,0,0,0,0
"48","1995-W09",NA,3.057654076,NA,"27/02/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,70.01785714,0,0,0,0,0,0,0,0,0,0
"49","1995-W10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.00357143,73.80357143,0,0,0,0,0,0,0,0,0,0
"50","1995-W11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.67678571,67.96428571,0,0,0,0,0,0,0,0,0,0
"51","1995-W12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.46607143,75,0,0,0,0,0,0,0,0,0,0
"52","1995-W13",NA,2.932270916,3.133466135,"27/03/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.42321429,69.08928571,0,0,0,0,0,0,0,0,0,0
"53","1995-W14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.71785714,71.82142857,0,0,0,0,0,0,0,0,0,0
"54","1995-W15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.25357143,63.66071429,1,0,1,1,0,8,0,8,8,0
"55","1995-W16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5125,66,0,0,0,0,0,0,0,0,0,0
"56","1995-W17",NA,3.128968254,NA,"25/04/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.71785714,72.60714286,0,0,0,0,0,0,0,0,0,0
"57","1995-W18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.35535714,73.25,0,0,0,0,0,0,0,0,0,0
"58","1995-W19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.10892857,72.73214286,0,0,0,0,0,0,0,0,0,0
"59","1995-W20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.13571429,71.91071429,0,0,0,0,0,0,0,0,0,0
"60","1995-W21",NA,2.910891089,NA,"25/05/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.60892857,73.73214286,0,0,0,0,0,0,0,0,0,0
"61","1995-W22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.05357143,74.21428571,0,0,0,0,0,0,0,0,0,0
"62","1995-W23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.78035714,72.57142857,0,0,0,0,0,0,0,0,0,0
"63","1995-W24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.29285714,66.76785714,0,0,0,0,0,0,0,0,0,0
"64","1995-W25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.50714286,72.28571429,0,0,0,0,0,0,0,0,0,0
"65","1995-W26",NA,3.015904573,3.079522863,"26/06/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.74285714,68.35714286,0,0,0,0,0,0,0,0,0,0
"66","1995-W27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.15178571,69.625,0,0,0,0,0,0,0,0,0,0
"67","1995-W28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.04642857,69.85714286,0,0,0,0,0,0,0,0,0,0
"68","1995-W29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.54107143,72.67857143,0,0,0,0,0,0,0,0,0,0
"69","1995-W30",NA,2.916334661,3.073705179,"27/07/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.75714286,74.21428571,1,1,0,1,0,6,6,0,6,0
"70","1995-W31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.08392857,73.01785714,0,0,0,0,0,0,0,0,0,0
"71","1995-W32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.06071429,70.85714286,0,0,0,0,0,0,0,0,0,0
"72","1995-W33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.23928571,70.67857143,0,0,0,0,0,0,0,0,0,0
"73","1995-W34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.97321429,69.89285714,1,1,0,1,0,4,4,0,4,0
"74","1995-W35",NA,2.996007984,3.22754491,"28/08/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2625,69.75,0,0,0,0,0,0,0,0,0,0
"75","1995-W36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.14464286,66.57142857,0,0,0,0,0,0,0,0,0,0
"76","1995-W37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9625,72.80357143,0,0,0,0,0,0,0,0,0,0
"77","1995-W38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.13035714,66.10714286,0,0,0,0,0,0,0,0,0,0
"78","1995-W39",NA,2.986083499,3.157057654,"27/09/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.46428571,68.19642857,0,0,0,0,0,0,0,0,0,0
"79","1995-W40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.72321429,64.26785714,0,0,0,0,0,0,0,0,0,0
"80","1995-W41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.27142857,69.71428571,0,0,0,0,0,0,0,0,0,0
"81","1995-W42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.28571429,72.19642857,0,0,0,0,0,0,0,0,0,0
"82","1995-W43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.36785714,62.26785714,0,0,0,0,0,0,0,0,0,0
"83","1995-W44",NA,3,3.156435644,"29/10/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.15714286,66.78571429,0,0,0,0,0,0,0,0,0,0
"84","1995-W45",NA,2.450396825,2.587301587,"08/11/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.15,63.14285714,0,0,0,0,0,0,0,0,0,0
"85","1995-W46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.45714286,61.28571429,0,0,0,0,0,0,0,0,0,0
"86","1995-W47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.45178571,69.14285714,0,0,0,0,0,0,0,0,0,0
"87","1995-W48",NA,2.520958084,2.656686627,"29/11/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.36607143,60.30357143,0,0,0,0,0,0,0,0,0,0
"88","1995-W49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.40535714,77.82142857,0,0,0,0,0,0,0,0,0,0
"89","1995-W50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.08392857,81.64285714,0,0,0,0,0,0,0,0,0,0
"90","1995-W51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.85178571,74.07142857,0,0,0,0,0,0,0,0,0,0
"91","1995-W52",NA,2.587301587,2.771825397,"27/12/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.46785714,81.80357143,0,0,0,0,0,0,0,0,0,0
"92","1995-W53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.625,85.25,0,0,0,0,0,0,0,0,0,0
"93","1996-W00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.55,74.4375,0,0,0,0,0,0,0,0,0,0
"94","1996-W01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.30714286,80.21428571,0,0,0,0,0,0,0,0,0,0
"95","1996-W02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.18928571,83.89285714,0,0,0,0,0,0,0,0,0,0
"96","1996-W03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.21428571,72.625,0,0,0,0,0,0,0,0,0,0
"97","1996-W04",NA,2.72166998,3.027833002,"29/01/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.32678571,78.89285714,0,0,0,0,0,0,0,0,0,0
"98","1996-W05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2125,66.78571429,0,0,0,0,0,0,0,0,0,0
"99","1996-W06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.625,80.76785714,0,0,0,0,0,0,0,0,0,0
"100","1996-W07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.75178571,77.66071429,0,0,0,0,0,0,0,0,0,0
"101","1996-W08",NA,2.806387226,3.043912176,"28/02/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.71071429,74.16071429,2,2,0,2,0,27,27,0,27,0
"102","1996-W09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.87678571,71.16071429,2,2,0,2,0,32,32,0,32,0
"103","1996-W10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.37321429,75.69642857,0,0,0,0,0,0,0,0,0,0
"104","1996-W11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.55535714,74.89285714,0,0,0,0,0,0,0,0,0,0
"105","1996-W12",NA,2.799603175,3.027777778,"27/03/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.50535714,76.35714286,0,0,0,0,0,0,0,0,0,0
"106","1996-W13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.79285714,75.92857143,0,0,0,0,0,0,0,0,0,0
"107","1996-W14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,70.83928571,0,0,0,0,0,0,0,0,0,0
"108","1996-W15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.20714286,66.41071429,0,0,0,0,0,0,0,0,0,0
"109","1996-W16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.49642857,67.57142857,0,0,0,0,0,0,0,0,0,0
"110","1996-W17",NA,2.559760956,2.778884462,"29/04/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.21607143,64.21428571,0,0,0,0,0,0,0,0,0,0
"111","1996-W18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.02142857,68.94642857,0,0,0,0,0,0,0,0,0,0
"112","1996-W19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.15178571,64.57142857,0,0,0,0,0,0,0,0,0,0
"113","1996-W20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.09821429,75.625,0,0,0,0,0,0,0,0,0,0
"114","1996-W21",NA,2.66468254,2.799603175,"30/05/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.26071429,71.58928571,0,0,0,0,0,0,0,0,0,0
"115","1996-W22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.025,72.35714286,0,0,0,0,0,0,0,0,0,0
"116","1996-W23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0875,75.05357143,0,0,0,0,0,0,0,0,0,0
"117","1996-W24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.93035714,70.01785714,0,0,0,0,0,0,0,0,0,0
"118","1996-W25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.26607143,72.375,0,0,0,0,0,0,0,0,0,0
"119","1996-W26",NA,2.545634921,2.801587302,"30/06/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.88571429,70.42857143,0,0,0,0,0,0,0,0,0,0
"120","1996-W27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.34642857,71.14285714,0,0,0,0,0,0,0,0,0,0
"121","1996-W28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.65714286,71.91071429,0,0,0,0,0,0,0,0,0,0
"122","1996-W29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.80357143,71.82142857,0,0,0,0,0,0,0,0,0,0
"123","1996-W30",NA,2.590457256,2.821073559,"29/07/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.22678571,73.73214286,0,0,0,0,0,0,0,0,0,0
"124","1996-W31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.66785714,74.76785714,0,0,0,0,0,0,0,0,0,0
"125","1996-W32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.39821429,74.91071429,0,0,0,0,0,0,0,0,0,0
"126","1996-W33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.28214286,69.03571429,0,0,0,0,0,0,0,0,0,0
"127","1996-W34",NA,2.507905138,2.808300395,"28/08/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.34107143,70.67857143,0,0,0,0,0,0,0,0,0,0
"128","1996-W35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.12321429,67.28571429,0,0,0,0,0,0,0,0,0,0
"129","1996-W36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.30178571,67.75,0,0,0,0,0,0,0,0,0,0
"130","1996-W37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.72142857,64.32142857,0,0,0,0,0,0,0,0,0,0
"131","1996-W38",NA,2.611881188,3.055445545,"26/09/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.11428571,70.875,0,0,0,0,0,0,0,0,0,0
"132","1996-W39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.63571429,69.83928571,0,0,0,0,0,0,0,0,0,0
"133","1996-W40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.65357143,65.08928571,0,0,0,0,0,0,0,0,0,0
"134","1996-W41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.46785714,54.17857143,0,0,0,0,0,0,0,0,0,0
"135","1996-W42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.39464286,68.48214286,0,0,0,0,0,0,0,0,0,0
"136","1996-W43",NA,2.57199211,2.958579882,"30/10/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.91785714,71.94642857,0,0,0,0,0,0,0,0,0,0
"137","1996-W44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.17678571,75.82142857,0,0,0,0,0,0,0,0,0,0
"138","1996-W45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.29642857,41.08928571,0,0,0,0,0,0,0,0,0,0
"139","1996-W46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.78214286,77.66071429,0,0,0,0,0,0,0,0,0,0
"140","1996-W47",NA,2.63654224,2.937131631,"28/11/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.17142857,77.21428571,0,0,0,0,0,0,0,0,0,0
"141","1996-W48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.83571429,71.10714286,0,0,0,0,0,0,0,0,0,0
"142","1996-W49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.71428571,80.83928571,0,0,0,0,0,0,0,0,0,0
"143","1996-W50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.56607143,76.58928571,0,0,0,0,0,0,0,0,0,0
"144","1996-W51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.29285714,73.76785714,0,0,0,0,0,0,0,0,0,0
"145","1996-W52",NA,2.515873016,2.827380952,"30/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.20833333,76.70833333,0,0,0,0,0,0,0,0,0,0
"146","1997-W00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.590625,78.90625,0,0,0,0,0,0,0,0,0,0
"147","1997-W01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.82857143,71.41071429,0,0,0,0,0,0,0,0,0,0
"148","1997-W02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,75.96428571,0,0,0,0,0,0,0,0,0,0
"149","1997-W03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.71428571,77.33928571,0,0,0,0,0,0,0,0,0,0
"150","1997-W04",NA,2.431411531,2.73359841,"29/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.42857143,76.01785714,0,0,0,0,0,0,0,0,0,0
"151","1997-W05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.596363636,61.30909091,0,0,0,0,0,0,0,0,0,0
"152","1997-W06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.26607143,71.07142857,0,0,0,0,0,0,0,0,0,0
"153","1997-W07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.54464286,76.66071429,0,0,0,0,0,0,0,0,0,0
"154","1997-W08",NA,2.569721116,2.900398406,"26/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.66071429,71.41071429,0,0,0,0,0,0,0,0,0,0
