"","yearweek","total_killed","survey_rate","survey_date"
"249","2005-W21",NA,NA,NA
"250","2005-W22",NA,3.071850394,2005-05-31
"251","2005-W23",NA,NA,NA
"252","2005-W24",NA,NA,NA
"253","2005-W25",4,NA,NA
"254","2005-W26",NA,3.147410359,2005-06-30
"255","2005-W27",NA,NA,NA
"256","2005-W28",6,NA,NA
"257","2005-W29",NA,NA,NA
"258","2005-W30",2,NA,NA
"259","2005-W31",NA,3.230693069,2005-07-31
"260","2005-W32",NA,NA,NA
"261","2005-W33",NA,NA,NA
"262","2005-W34",NA,NA,NA
"263","2005-W35",NA,3.195049505,2005-08-31
"264","2005-W36",NA,NA,NA
"265","2005-W37",NA,NA,NA
"266","2005-W38",1,NA,NA
"267","2005-W39",NA,3.128431373,2005-09-29
"268","2005-W40",NA,NA,NA
"269","2005-W41",NA,NA,NA
"270","2005-W42",3,NA,NA
"271","2005-W43",7,NA,NA
"272","2005-W44",1,3.134951456,2005-10-31
"273","2005-W45",NA,NA,NA
"274","2005-W46",NA,NA,NA
"275","2005-W47",NA,NA,NA
"276","2005-W48",NA,NA,NA
"277","2005-W49",6,NA,NA
"278","2005-W50",1,NA,NA
"279","2005-W51",NA,NA,NA
"280","2005-W52",1,3.01284585,2005-12-28
"281","2006-W01",NA,NA,NA
"282","2006-W02",NA,NA,NA
"283","2006-W03",NA,NA,NA
"284","2006-W04",NA,NA,NA
"285","2006-W05",NA,3.121568627,2006-01-31
"286","2006-W06",1,NA,NA
"287","2006-W07",NA,NA,NA
"288","2006-W08",NA,NA,NA
"289","2006-W09",1,3.21257485,2006-02-28
"290","2006-W10",NA,NA,NA
"291","2006-W11",NA,NA,NA
"292","2006-W12",NA,NA,NA
"293","2006-W13",4,3.098425197,2006-03-31
"294","2006-W14",NA,NA,NA
"295","2006-W15",NA,NA,NA
"296","2006-W16",7,NA,NA
"297","2006-W17",NA,NA,NA
"298","2006-W18",NA,3.256972112,2006-04-30
"299","2006-W19",NA,NA,NA
"300","2006-W20",NA,NA,NA
"301","2006-W21",NA,NA,NA
"302","2006-W22",NA,3.263261297,2006-05-31
"303","2006-W23",NA,NA,NA
"304","2006-W24",NA,NA,NA
"305","2006-W25",NA,NA,NA
"306","2006-W26",3,3.458661417,2006-06-30
"307","2006-W27",NA,NA,NA
"308","2006-W28",NA,NA,NA
"309","2006-W29",1,NA,NA
"310","2006-W30",1,NA,NA
"311","2006-W31",NA,NA,2006-07-31
"312","2006-W32",NA,NA,NA
"313","2006-W33",1,NA,NA
"314","2006-W34",NA,NA,NA
"315","2006-W35",NA,NA,2006-08-31
"316","2006-W36",NA,NA,NA
"317","2006-W37",1,NA,NA
"318","2006-W38",NA,NA,NA
"319","2006-W39",NA,3.343809524,2006-09-26
"320","2006-W40",NA,NA,NA
"321","2006-W41",NA,NA,NA
"322","2006-W42",NA,NA,NA
"323","2006-W43",NA,NA,NA
"324","2006-W44",1,3.270242915,2006-10-31
"325","2006-W45",NA,NA,NA
"326","2006-W46",1,NA,NA
"327","2006-W47",1,NA,NA
"328","2006-W48",NA,3.218934911,2006-11-30
"329","2006-W49",NA,NA,NA
"330","2006-W50",NA,NA,NA
"331","2006-W51",NA,NA,NA
"332","2006-W52",NA,3.284836066,2006-12-30
"333","2006-W53",NA,NA,NA
"334","2007-W00",NA,NA,NA
"335","2007-W01",NA,NA,NA
"336","2007-W02",NA,NA,NA
"337","2007-W03",NA,NA,NA
"338","2007-W04",3,3.161793372,2007-01-31
"339","2007-W05",NA,NA,NA
"340","2007-W06",NA,NA,NA
"341","2007-W07",NA,NA,NA
"342","2007-W08",1,3.138888889,2007-02-28
"343","2007-W09",NA,NA,NA
"344","2007-W10",NA,NA,NA
"345","2007-W11",NA,NA,NA
"346","2007-W12",NA,2.998039216,2007-03-28
"347","2007-W13",NA,NA,NA
"348","2007-W14",NA,NA,NA
"349","2007-W15",NA,NA,NA
"350","2007-W16",NA,NA,NA
"351","2007-W17",NA,3.115740741,2007-04-30
"352","2007-W18",NA,NA,NA
"353","2007-W19",NA,NA,NA
"354","2007-W20",1,NA,NA
"355","2007-W21",1,3.30859375,2007-05-31
"356","2007-W22",NA,NA,NA
"357","2007-W23",NA,NA,NA
"358","2007-W24",NA,NA,NA
"359","2007-W25",NA,3.269762846,2007-06-30
"360","2007-W26",NA,NA,NA
"361","2007-W27",1,NA,NA
"362","2007-W28",NA,NA,NA
"363","2007-W29",NA,NA,NA
"364","2007-W30",NA,3.322200393,2007-07-31
"365","2007-W31",NA,NA,NA
"366","2007-W32",NA,NA,NA
"367","2007-W33",NA,NA,NA
"368","2007-W34",NA,3.537698413,2007-08-31
"369","2007-W35",NA,NA,NA
"370","2007-W36",NA,NA,NA
"371","2007-W37",1,NA,NA
"372","2007-W38",NA,NA,NA
"373","2007-W39",NA,3.389227642,2007-09-30
"374","2007-W40",NA,NA,NA
"375","2007-W41",1,NA,NA
"376","2007-W42",NA,NA,NA
"377","2007-W43",1,3.056886228,2007-10-31
"378","2007-W44",NA,NA,NA
"379","2007-W45",NA,NA,NA
"380","2007-W46",1,NA,NA
"381","2007-W47",NA,3.145,2007-11-30
"382","2007-W48",NA,NA,NA
"383","2007-W49",NA,NA,NA
"384","2007-W50",NA,NA,NA
"385","2007-W51",2,NA,NA
"386","2007-W52",NA,3.159722222,2007-12-31
"387","2008-W00",NA,NA,NA
"388","2008-W01",NA,NA,NA
"389","2008-W02",NA,NA,NA
"390","2008-W03",1,NA,NA
"391","2008-W04",NA,3.316831683,2008-01-31
"392","2008-W05",1,NA,NA
"393","2008-W06",NA,NA,NA
"394","2008-W07",NA,NA,NA
"395","2008-W08",3,3.394211577,2008-02-29
