"negot3","negot4","date1","survey_year"
1,3,89,2001
1,4,89,2001
1,1,89,2001
1,4,89,2001
1,1,89,2001
1,4,89,2001
1,NA,89,2001
4,4,89,2001
2,4,89,2001
2,4,89,2001
2,2,89,2001
2,3,89,2001
4,4,89,2001
3,2,89,2001
2,4,89,2001
4,4,89,2001
4,4,89,2001
1,3,89,2001
3,3,89,2001
3,4,89,2001
2,2,89,2001
3,3,89,2001
2,4,89,2001
2,3,89,2001
2,2,89,2001
2,2,89,2001
2,2,89,2001
1,2,89,2001
2,4,89,2001
2,2,89,2001
1,3,89,2001
2,1,89,2001
1,4,89,2001
1,1,89,2001
3,2,89,2001
2,3,89,2001
1,NA,89,2001
2,3,89,2001
1,1,89,2001
2,4,89,2001
2,4,89,2001
2,2,89,2001
3,4,89,2001
4,4,89,2001
4,NA,89,2001
2,4,89,2001
1,2,89,2001
2,2,89,2001
2,2,89,2001
2,2,89,2001
4,NA,89,2001
1,3,89,2001
2,2,89,2001
4,4,89,2001
1,4,89,2001
1,1,89,2001
2,1,89,2001
1,3,89,2001
2,2,89,2001
2,2,89,2001
2,4,89,2001
2,2,89,2001
3,4,89,2001
4,4,89,2001
2,2,89,2001
3,3,89,2001
2,4,89,2001
1,4,89,2001
2,2,89,2001
2,2,89,2001
4,3,89,2001
2,3,89,2001
1,4,89,2001
4,3,89,2001
3,4,89,2001
3,2,89,2001
2,2,89,2001
1,2,89,2001
2,4,89,2001
2,3,89,2001
3,2,89,2001
2,2,89,2001
1,4,89,2001
3,3,89,2001
3,4,89,2001
4,4,89,2001
2,4,89,2001
4,4,89,2001
4,3,89,2001
4,4,89,2001
2,4,89,2001
3,3,89,2001
1,2,89,2001
4,4,89,2001
2,4,89,2001
3,4,89,2001
1,4,89,2001
2,2,89,2001
4,4,89,2001
2,4,89,2001
3,3,89,2001
3,3,89,2001
3,3,89,2001
3,3,89,2001
3,4,89,2001
4,4,89,2001
3,3,89,2001
3,NA,89,2001
3,2,89,2001
2,4,89,2001
2,2,89,2001
2,2,89,2001
1,3,89,2001
2,3,89,2001
2,2,89,2001
1,4,89,2001
1,2,89,2001
4,4,89,2001
1,2,89,2001
2,2,89,2001
2,2,89,2001
2,4,89,2001
2,NA,89,2001
1,1,89,2001
3,2,89,2001
1,2,89,2001
2,NA,89,2001
3,3,89,2001
4,4,89,2001
2,2,89,2001
2,1,89,2001
1,4,89,2001
3,4,89,2001
4,4,89,2001
2,2,89,2001
4,4,89,2001
2,4,89,2001
3,3,89,2001
4,4,89,2001
3,3,89,2001
4,1,89,2001
2,3,89,2001
2,3,89,2001
2,4,89,2001
3,3,89,2001
4,4,89,2001
3,2,89,2001
3,3,89,2001
2,NA,89,2001
3,3,89,2001
2,3,89,2001
1,2,89,2001
3,3,89,2001
4,4,89,2001
4,4,89,2001
3,4,89,2001
2,NA,89,2001
3,3,89,2001
2,3,89,2001
4,4,89,2001
4,3,89,2001
4,2,89,2001
2,3,89,2001
2,2,89,2001
1,2,89,2001
4,3,89,2001
4,3,89,2001
2,3,89,2001
3,2,89,2001
2,NA,89,2001
3,3,89,2001
2,2,89,2001
4,4,89,2001
4,4,89,2001
2,4,89,2001
3,NA,89,2001
1,3,89,2001
3,3,89,2001
2,2,89,2001
1,3,89,2001
2,3,89,2001
2,2,89,2001
1,4,89,2001
4,3,89,2001
2,NA,89,2001
2,4,89,2001
3,3,89,2001
2,2,89,2001
3,3,89,2001
1,3,89,2001
2,3,89,2001
3,3,89,2001
2,4,89,2001
4,4,89,2001
2,2,89,2001
2,3,89,2001
3,4,89,2001
2,2,89,2001
1,4,89,2001
1,1,89,2001
4,2,89,2001
2,3,89,2001
2,2,89,2001
4,4,89,2001
2,4,89,2001
1,4,89,2001
3,3,89,2001
4,4,89,2001
3,3,89,2001
2,3,89,2001
2,4,89,2001
3,2,89,2001
4,4,89,2001
3,3,89,2001
3,2,89,2001
2,3,89,2001
1,4,89,2001
1,1,89,2001
2,2,89,2001
2,2,89,2001
2,2,89,2001
2,3,89,2001
3,3,89,2001
2,1,89,2001
3,3,89,2001
2,1,89,2001
2,2,89,2001
4,4,90,2001
4,4,90,2001
2,3,90,2001
2,3,90,2001
1,3,90,2001
4,NA,90,2001
4,4,90,2001
2,4,90,2001
2,3,90,2001
4,4,90,2001
2,4,90,2001
3,4,90,2001
1,1,90,2001
2,2,90,2001
2,3,90,2001
2,3,90,2001
2,2,90,2001
2,4,90,2001
3,3,90,2001
3,4,90,2001
1,2,90,2001
2,2,90,2001
3,4,90,2001
2,1,90,2001
2,3,90,2001
1,2,90,2001
3,4,90,2001
3,4,90,2001
2,NA,90,2001
2,3,90,2001
4,4,90,2001
4,4,90,2001
3,4,90,2001
4,4,90,2001
2,3,90,2001
2,4,90,2001
4,4,90,2001
2,3,90,2001
2,3,90,2001
4,3,90,2001
3,4,90,2001
3,1,90,2001
3,3,90,2001
4,4,90,2001
4,NA,90,2001
2,2,90,2001
3,3,90,2001
1,2,90,2001
2,2,90,2001
2,2,90,2001
3,3,90,2001
2,3,90,2001
1,2,90,2001
3,NA,90,2001
1,2,90,2001
4,4,90,2001
3,2,90,2001
3,3,90,2001
2,4,90,2001
4,4,90,2001
4,NA,90,2001
4,4,90,2001
4,4,90,2001
2,2,90,2001
2,4,90,2001
2,3,90,2001
3,3,90,2001
3,4,90,2001
1,3,90,2001
2,3,90,2001
2,3,90,2001
2,2,90,2001
3,4,90,2001
1,2,90,2001
3,3,90,2001
3,3,90,2001
2,3,90,2001
2,3,90,2001
2,3,90,2001
3,3,90,2001
1,3,90,2001
1,3,90,2001
2,4,90,2001
4,4,90,2001
3,3,90,2001
1,3,90,2001
4,4,90,2001
2,2,90,2001
2,2,90,2001
4,4,90,2001
3,3,90,2001
4,NA,90,2001
4,4,90,2001
4,4,90,2001
4,4,90,2001
2,2,90,2001
4,4,90,2001
3,3,90,2001
3,4,90,2001
2,3,90,2001
4,4,90,2001
3,3,90,2001
4,4,90,2001
4,3,90,2001
2,4,90,2001
2,4,90,2001
1,4,90,2001
1,1,90,2001
3,3,90,2001
2,NA,90,2001
1,1,90,2001
2,NA,90,2001
2,3,90,2001
3,4,90,2001
1,2,90,2001
2,3,90,2001
2,1,90,2001
2,3,90,2001
2,3,90,2001
3,4,90,2001
2,2,90,2001
2,3,90,2001
1,2,90,2001
2,4,90,2001
3,3,90,2001
2,2,90,2001
3,4,90,2001
3,2,90,2001
2,3,90,2001
4,3,90,2001
1,4,90,2001
2,4,90,2001
2,2,90,2001
3,3,90,2001
4,2,90,2001
3,2,90,2001
3,4,90,2001
2,2,90,2001
3,3,90,2001
4,4,90,2001
1,2,90,2001
2,2,90,2001
2,2,90,2001
1,4,90,2001
3,3,90,2001
1,3,90,2001
2,4,90,2001
2,2,90,2001
4,4,90,2001
1,2,90,2001
2,1,90,2001
2,3,90,2001
3,3,90,2001
3,4,90,2001
2,4,90,2001
2,2,90,2001
2,4,90,2001
1,2,90,2001
3,3,90,2001
4,4,90,2001
2,2,90,2001
4,3,90,2001
1,NA,90,2001
2,1,90,2001
1,2,90,2001
2,3,90,2001
4,2,90,2001
3,4,90,2001
1,2,90,2001
4,4,90,2001
1,3,90,2001
2,3,90,2001
3,2,90,2001
2,3,90,2001
1,2,90,2001
1,2,90,2001
4,4,90,2001
2,2,90,2001
2,2,90,2001
2,2,90,2001
4,4,90,2001
4,4,90,2001
2,3,90,2001
2,3,90,2001
1,2,90,2001
4,4,90,2001
4,4,90,2001
4,3,90,2001
2,2,90,2001
3,3,90,2001
2,2,90,2001
1,3,90,2001
2,2,90,2001
3,3,90,2001
1,4,90,2001
2,2,90,2001
3,3,90,2001
3,3,90,2001
4,4,90,2001
4,4,90,2001
3,3,90,2001
3,3,90,2001
3,3,90,2001
3,NA,90,2001
2,4,90,2001
4,4,90,2001
1,2,90,2001
3,3,90,2001
2,2,90,2001
1,NA,90,2001
1,1,90,2001
4,4,90,2001
4,4,90,2001
1,NA,90,2001
4,4,90,2001
4,4,90,2001
3,3,90,2001
2,4,90,2001
1,4,90,2001
2,2,90,2001
3,3,90,2001
4,4,90,2001
1,4,90,2001
1,3,90,2001
3,3,90,2001
3,3,90,2001
1,4,90,2001
4,4,90,2001
3,4,90,2001
3,4,90,2001
1,4,90,2001
2,3,90,2001
4,4,90,2001
3,2,90,2001
1,NA,90,2001
2,2,90,2001
1,3,90,2001
3,3,90,2001
1,1,90,2001
4,4,90,2001
2,1,90,2001
4,2,90,2001
2,2,90,2001
3,3,90,2001
4,4,90,2001
3,4,90,2001
4,4,90,2001
3,4,90,2001
1,4,90,2001
1,4,90,2001
4,4,90,2001
4,4,90,2001
3,3,90,2001
1,2,90,2001
1,4,90,2001
4,4,90,2001
4,4,90,2001
4,4,90,2001
4,4,90,2001
2,1,90,2001
3,2,90,2001
3,4,90,2001
2,4,90,2001
4,4,90,2001
4,4,90,2001
3,4,90,2001
4,4,90,2001
2,2,90,2001
3,4,90,2001
1,3,90,2001
4,4,90,2001
3,3,90,2001
1,4,90,2001
3,4,90,2001
2,3,90,2001
3,4,90,2001
3,3,90,2001
3,3,90,2001
2,3,90,2001
3,2,90,2001
2,2,90,2001
2,3,90,2001
2,4,90,2001
4,3,90,2001
3,4,90,2001
3,3,90,2001
4,4,90,2001
4,4,90,2001
2,3,90,2001
4,4,90,2001
4,4,90,2001
4,4,90,2001
4,4,90,2001
3,2,90,2001
2,4,90,2001
2,3,90,2001
2,2,90,2001
3,3,90,2001
3,3,90,2001
1,1,90,2001
3,3,90,2001
2,2,90,2001
2,3,90,2001
4,4,90,2001
4,4,90,2001
3,4,90,2001
1,2,90,2001
2,2,90,2001
4,4,90,2001
1,3,90,2001
3,4,90,2001
1,4,90,2001
3,2,90,2001
2,3,90,2001
4,2,90,2001
2,2,90,2001
1,2,90,2001
4,2,90,2001
2,3,90,2001
4,4,90,2001
1,2,90,2001
2,4,90,2001
2,4,90,2001
1,4,90,2001
1,1,90,2001
4,4,90,2001
4,4,90,2001
4,4,90,2001
1,2,90,2001
2,2,90,2001
2,3,90,2001
3,4,90,2001
1,1,90,2001
4,4,90,2001
1,4,90,2001
2,4,90,2001
2,2,90,2001
2,2,90,2001
1,3,90,2001
2,4,90,2001
2,2,90,2001
1,2,90,2001
3,NA,90,2001
3,3,90,2001
2,3,90,2001
3,3,90,2001
2,4,90,2001
2,3,90,2001
1,2,90,2001
1,4,90,2001
4,3,90,2001
2,3,90,2001
4,4,90,2001
2,NA,90,2001
1,1,90,2001
1,2,90,2001
2,2,90,2001
4,4,90,2001
3,4,90,2001
2,3,90,2001
3,3,90,2001
1,2,90,2001
2,2,90,2001
1,2,90,2001
4,4,90,2001
2,1,90,2001
3,4,90,2001
4,4,90,2001
1,2,90,2001
1,4,90,2001
3,3,90,2001
2,3,90,2001
4,4,90,2001
4,3,90,2001
2,3,90,2001
1,2,90,2001
4,4,90,2001
1,2,90,2001
1,3,90,2001
1,4,90,2001
1,3,90,2001
4,4,90,2001
4,4,90,2001
3,3,90,2001
2,2,90,2001
3,4,90,2001
2,2,90,2001
4,4,90,2001
4,4,90,2001
1,2,90,2001
4,4,90,2001
2,3,90,2001
2,3,90,2001
2,3,90,2001
2,3,90,2001
3,3,90,2001
4,4,90,2001
3,3,90,2001
4,4,90,2001
1,1,90,2001
2,3,90,2001
1,3,90,2001
1,1,90,2001
2,3,90,2001
3,3,90,2001
2,3,90,2001
4,4,90,2001
4,4,90,2001
3,4,90,2001
3,4,90,2001
2,2,90,2001
1,2,90,2001
2,2,90,2001
3,3,90,2001
2,2,90,2001
1,2,90,2001
3,4,90,2001
1,2,90,2001
1,2,90,2001
2,3,90,2001
1,1,90,2001
2,3,90,2001
2,3,90,2001
4,4,90,2001
1,3,90,2001
2,3,90,2001
4,4,90,2001
3,4,90,2001
1,2,90,2001
2,3,90,2001
2,3,90,2001
2,3,90,2001
4,3,90,2001
3,3,90,2001
2,3,90,2001
1,1,90,2001
2,3,90,2001
2,3,90,2001
3,3,90,2001
2,2,90,2001
3,3,90,2001
2,2,90,2001
2,3,90,2001
3,3,90,2001
2,3,90,2001
4,4,90,2001
3,3,90,2001
1,1,90,2001
4,4,90,2001
3,4,90,2001
4,3,90,2001
1,2,90,2001
2,2,90,2001
4,4,90,2001
3,3,90,2001
3,3,90,2001
2,3,90,2001
1,2,90,2001
3,3,90,2001
2,2,90,2001
2,3,90,2001
4,3,90,2001
4,4,90,2001
1,2,90,2001
3,3,90,2001
4,4,90,2001
3,4,90,2001
3,3,90,2001
2,3,90,2001
1,1,90,2001
4,4,90,2001
3,2,90,2001
3,2,90,2001
2,3,90,2001
4,4,90,2001
2,2,90,2001
2,2,90,2001
4,4,90,2001
4,4,90,2001
3,3,90,2001
2,2,90,2001
2,2,90,2001
2,3,90,2001
1,2,90,2001
1,3,91,2001
4,3,91,2001
2,2,91,2001
2,2,91,2001
2,4,91,2001
3,4,91,2001
3,4,91,2001
2,3,91,2001
2,NA,91,2001
3,4,91,2001
1,2,91,2001
2,3,91,2001
2,4,91,2001
2,2,91,2001
2,3,91,2001
1,2,91,2001
2,2,91,2001
3,3,91,2001
1,4,91,2001
2,3,91,2001
3,4,91,2001
4,4,91,2001
3,3,91,2001
1,NA,91,2001
1,3,91,2001
1,3,91,2001
2,2,91,2001
3,3,91,2001
1,2,91,2001
1,3,91,2001
1,2,91,2001
1,2,91,2001
4,4,91,2001
1,1,91,2001
3,2,91,2001
2,3,91,2001
4,4,91,2001
3,3,91,2001
2,2,91,2001
2,4,91,2001
4,4,91,2001
4,4,91,2001
2,4,91,2001
4,2,91,2001
2,2,91,2001
4,4,91,2001
2,3,91,2001
4,4,91,2001
2,4,91,2001
2,3,91,2001
3,4,91,2001
3,4,91,2001
4,4,91,2001
4,4,91,2001
2,2,91,2001
2,3,91,2001
1,2,91,2001
2,4,91,2001
4,4,91,2001
2,3,91,2001
4,4,91,2001
2,2,91,2001
1,2,91,2001
3,3,91,2001
2,3,91,2001
4,4,91,2001
2,3,91,2001
3,3,91,2001
4,3,91,2001
4,4,91,2001
2,2,91,2001
2,2,91,2001
4,3,91,2001
2,3,91,2001
1,1,91,2001
2,2,91,2001
3,3,91,2001
2,2,91,2001
2,2,91,2001
2,3,91,2001
1,2,91,2001
4,4,91,2001
1,4,91,2001
3,3,91,2001
4,4,91,2001
3,3,91,2001
2,2,91,2001
4,4,91,2001
2,1,91,2001
2,3,91,2001
2,4,91,2001
4,3,91,2001
2,3,91,2001
4,4,91,2001
2,4,91,2001
1,4,91,2001
3,4,91,2001
2,3,91,2001
3,3,91,2001
1,1,91,2001
4,4,91,2001
1,1,91,2001
2,3,91,2001
3,3,91,2001
3,4,91,2001
2,2,91,2001
3,3,91,2001
3,3,91,2001
4,4,91,2001
4,4,91,2001
2,3,91,2001
4,4,91,2001
4,4,91,2001
2,4,91,2001
2,2,91,2001
1,2,91,2001
4,2,91,2001
1,2,91,2001
4,4,91,2001
1,1,91,2001
4,4,91,2001
1,1,91,2001
1,4,91,2001
4,4,91,2001
2,4,91,2001
2,2,91,2001
2,3,91,2001
3,3,91,2001
2,3,91,2001
2,3,91,2001
2,2,91,2001
2,4,91,2001
1,3,91,2001
1,2,91,2001
2,3,91,2001
2,4,91,2001
1,2,91,2001
2,2,91,2001
3,4,91,2001
4,4,91,2001
2,2,91,2001
2,2,91,2001
2,3,91,2001
3,4,91,2001
3,3,91,2001
2,4,91,2001
4,4,91,2001
2,4,91,2001
4,2,91,2001
2,2,91,2001
1,2,91,2001
1,2,91,2001
4,4,91,2001
2,2,91,2001
2,1,91,2001
3,3,91,2001
1,2,91,2001
2,2,91,2001
3,4,91,2001
2,3,91,2001
2,3,91,2001
2,3,91,2001
1,3,91,2001
1,4,91,2001
2,2,91,2001
3,3,91,2001
4,3,91,2001
4,4,91,2001
2,3,91,2001
3,1,91,2001
2,1,91,2001
2,3,91,2001
2,2,91,2001
2,3,91,2001
1,4,91,2001
3,4,91,2001
1,2,91,2001
2,3,91,2001
2,2,91,2001
1,3,91,2001
2,2,91,2001
3,4,91,2001
1,4,91,2001
1,1,91,2001
2,3,91,2001
2,3,91,2001
1,4,91,2001
2,2,91,2001
3,4,91,2001
3,3,91,2001
2,2,91,2001
2,2,91,2001
1,2,91,2001
1,2,91,2001
4,4,91,2001
1,2,91,2001
2,3,91,2001
1,4,91,2001
4,3,91,2001
1,1,91,2001
3,3,91,2001
2,4,91,2001
2,4,91,2001
2,3,91,2001
1,4,91,2001
2,4,91,2001
4,2,91,2001
2,3,91,2001
4,4,91,2001
1,2,91,2001
4,4,91,2001
4,2,91,2001
4,4,91,2001
2,3,91,2001
4,3,91,2001
3,4,91,2001
1,3,91,2001
3,3,91,2001
2,1,91,2001
4,4,91,2001
1,3,91,2001
1,1,91,2001
2,4,91,2001
3,4,91,2001
2,3,91,2001
2,2,91,2001
2,4,91,2001
3,4,91,2001
1,1,91,2001
4,4,91,2001
2,2,91,2001
1,2,91,2001
3,2,91,2001
1,2,91,2001
4,4,91,2001
3,4,91,2001
2,NA,91,2001
2,2,91,2001
1,1,91,2001
2,2,91,2001
1,1,91,2001
3,4,91,2001
2,3,91,2001
2,2,91,2001
4,4,91,2001
1,1,91,2001
1,2,91,2001
2,3,91,2001
2,4,91,2001
2,3,91,2001
4,4,91,2001
3,4,91,2001
3,4,91,2001
4,4,91,2001
2,2,91,2001
2,2,91,2001
2,3,91,2001
2,3,91,2001
3,4,91,2001
2,3,91,2001
1,2,91,2001
1,3,91,2001
1,3,91,2001
4,4,91,2001
2,2,91,2001
2,2,91,2001
4,4,91,2001
2,2,91,2001
1,4,91,2001
4,4,91,2001
1,2,91,2001
3,3,91,2001
2,3,91,2001
3,4,91,2001
2,2,91,2001
3,4,91,2001
3,4,91,2001
4,2,91,2001
1,3,91,2001
1,2,91,2001
2,2,91,2001
2,2,91,2001
2,3,91,2001
2,3,91,2001
1,3,91,2001
1,3,91,2001
3,2,91,2001
3,3,91,2001
1,1,91,2001
2,4,91,2001
2,2,91,2001
2,4,91,2001
1,4,91,2001
2,3,91,2001
3,3,91,2001
3,4,91,2001
4,4,91,2001
4,4,91,2001
2,2,91,2001
3,2,91,2001
4,4,91,2001
3,3,91,2001
4,4,91,2001
2,4,91,2001
1,1,91,2001
4,4,91,2001
2,2,91,2001
2,3,91,2001
4,4,91,2001
4,4,91,2001
2,4,91,2001
2,4,91,2001
4,4,91,2001
2,2,91,2001
2,4,91,2001
2,4,91,2001
1,2,91,2001
3,3,91,2001
4,3,91,2001
1,3,91,2001
4,3,91,2001
1,3,91,2001
1,2,91,2001
2,3,91,2001
3,3,91,2001
3,3,91,2001
3,4,91,2001
1,4,91,2001
2,2,91,2001
2,2,91,2001
1,3,91,2001
3,4,91,2001
1,2,91,2001
2,2,91,2001
4,3,91,2001
3,3,91,2001
1,2,91,2001
3,4,91,2001
2,4,91,2001
2,3,91,2001
3,4,91,2001
2,4,91,2001
4,4,91,2001
1,4,91,2001
2,4,91,2001
1,1,91,2001
3,3,91,2001
2,2,91,2001
2,3,91,2001
2,2,91,2001
3,4,91,2001
3,4,91,2001
1,1,91,2001
2,3,91,2001
4,4,91,2001
2,2,91,2001
2,4,91,2001
4,4,91,2001
2,4,91,2001
1,1,91,2001
4,4,91,2001
1,2,91,2001
4,4,91,2001
1,2,91,2001
1,3,91,2001
2,3,91,2001
4,4,91,2001
3,3,91,2001
2,4,91,2001
2,2,91,2001
3,4,91,2001
2,3,91,2001
2,4,91,2001
1,2,91,2001
1,1,91,2001
1,3,91,2001
4,4,91,2001
3,4,91,2001
2,2,91,2001
4,4,91,2001
1,4,91,2001
4,4,91,2001
4,4,91,2001
4,4,91,2001
2,2,91,2001
2,1,91,2001
2,2,91,2001
4,3,91,2001
1,3,91,2001
2,2,91,2001
2,2,91,2001
2,4,91,2001
4,NA,91,2001
3,4,91,2001
2,2,91,2001
3,4,91,2001
2,3,91,2001
1,2,91,2001
4,4,91,2001
4,4,91,2001
2,3,91,2001
1,4,91,2001
4,4,91,2001
2,3,91,2001
1,4,91,2001
2,3,91,2001
2,3,91,2001
1,1,91,2001
2,2,91,2001
2,4,91,2001
2,4,91,2001
4,3,91,2001
4,4,91,2001
2,2,91,2001
4,4,91,2001
2,3,91,2001
1,2,91,2001
4,4,91,2001
2,3,91,2001
1,2,91,2001
2,1,91,2001
1,2,91,2001
2,NA,91,2001
3,4,91,2001
4,3,91,2001
2,4,91,2001
1,1,91,2001
2,NA,91,2001
4,4,91,2001
4,4,91,2001
2,3,91,2001
1,4,91,2001
2,3,91,2001
4,2,91,2001
3,2,91,2001
2,2,91,2001
4,4,91,2001
3,2,91,2001
2,2,91,2001
4,4,91,2001
2,4,91,2001
2,4,91,2001
3,2,91,2001
4,2,91,2001
1,4,91,2001
2,4,91,2001
2,3,91,2001
1,2,91,2001
2,2,91,2001
3,NA,91,2001
4,4,91,2001
1,2,91,2001
2,3,91,2001
2,3,91,2001
1,1,91,2001
1,2,91,2001
1,2,91,2001
1,3,91,2001
3,3,91,2001
4,4,91,2001
4,4,91,2001
1,1,91,2001
2,3,91,2001
4,4,91,2001
4,3,91,2001
3,2,91,2001
1,4,91,2001
1,4,91,2001
2,3,91,2001
2,3,91,2001
2,4,91,2001
4,4,91,2001
4,4,91,2001
3,3,91,2001
1,3,91,2001
3,3,91,2001
3,4,91,2001
1,2,91,2001
2,2,91,2001
2,1,91,2001
2,2,91,2001
2,4,91,2001
3,3,91,2001
4,4,91,2001
2,2,91,2001
2,2,91,2001
3,3,91,2001
4,4,91,2001
2,2,91,2001
4,4,92,2001
2,2,92,2001
3,4,92,2001
2,4,92,2001
3,3,92,2001
4,4,92,2001
3,3,92,2001
4,4,92,2001
3,3,92,2001
2,4,92,2001
4,3,92,2001
4,4,92,2001
3,4,92,2001
2,4,92,2001
3,4,92,2001
2,4,92,2001
1,3,92,2001
3,4,92,2001
1,1,92,2001
4,4,92,2001
3,3,92,2001
2,3,92,2001
2,2,92,2001
4,4,92,2001
3,4,92,2001
4,4,92,2001
4,4,92,2001
2,4,92,2001
4,4,92,2001
3,3,92,2001
2,3,92,2001
2,2,92,2001
3,4,92,2001
1,4,92,2001
4,4,92,2001
1,2,92,2001
4,3,92,2001
3,4,92,2001
2,2,92,2001
2,1,92,2001
4,4,92,2001
3,4,92,2001
4,4,92,2001
3,4,92,2001
4,4,92,2001
2,3,92,2001
4,4,92,2001
4,4,92,2001
4,4,92,2001
1,4,92,2001
4,4,92,2001
4,4,92,2001
2,NA,92,2001
3,3,92,2001
4,4,92,2001
2,3,92,2001
2,4,92,2001
2,4,92,2001
1,3,92,2001
3,3,92,2001
4,3,92,2001
1,1,92,2001
3,4,92,2001
2,2,92,2001
1,4,92,2001
4,3,92,2001
4,4,92,2001
2,3,92,2001
4,4,92,2001
4,4,92,2001
2,3,92,2001
4,4,92,2001
4,4,92,2001
3,4,92,2001
4,4,92,2001
4,4,92,2001
4,4,92,2001
4,4,92,2001
2,3,92,2001
1,4,92,2001
2,2,92,2001
4,4,92,2001
2,2,92,2001
3,NA,92,2001
2,2,92,2001
4,4,92,2001
3,3,92,2001
3,2,92,2001
2,2,92,2001
2,2,92,2001
3,3,92,2001
3,3,92,2001
2,4,92,2001
1,NA,92,2001
1,2,92,2001
2,3,92,2001
3,4,92,2001
2,4,92,2001
1,1,92,2001
1,4,92,2001
2,4,92,2001
