"year","household_questionnaire_id","do_you_own_use_a_krishi_meter","a__how_long_ago_did_you_receive","b__how_much_did_you_pay_for_the","unit_price_for_krishi_elec","how_many_electric_pumps_do_yo","do_you_use_a_domestic_connect","when_did_you_receive_the_con","how_much_did_you_pay_for_con","unit_price_dom_elec","how_many_electric_pumps_do_yp","hrs_electricity_in_monsoon","hrs_electricity_in_winter","hrs_electricity_in_summer","distance_of_electricity_mete","total_expenses_on_electricit","is_the_number_of_hrs_of_elec","is_the_quality_of_electricit","do_you_buy_fuel_for_the_pump","if_yes__which_fuel_do_you_use","at_which_price_did_you_buy_it","diesel_available_within_villa","diesel_available_within_5_km","diesel_available_when_needed","have_to_pay_black_market_rat","total_litres_consumed_dieselkero","district","TreatmentControl","TC"
2018,"T301503071",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,75,1,1,1,1,250,1,"Control",0
2018,"T301502072",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,2,100,1,1,2,1,40,1,"Control",0
2018,"T303806076",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,2,100,1,1,1,1,70,1,"Control",0
2018,"T303806078",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T301502069",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,2,100,1,1,1,1,70,1,"Control",0
2018,"T301502074",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,80,1,1,1,1,200,1,"Control",0
2018,"T301503073",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,2,100,1,1,1,1,100,1,"Control",0
2018,"T307006094",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T307707110",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T307103092",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,85,1,1,1,1,125,1,"Control",0
2018,"T304905099",1,1,5000,4.46000003814697,1,2,NA,NA,NA,NA,85,50,0,360,5000,1,1,1,2,87,1,1,1,1,400,1,"Control",0
2018,"T308603106",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,75,1,1,1,1,270,1,"Control",0
2018,"T300902111",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,100,1,1,1,1,1000,1,"Control",0
2018,"T300509098",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T307001096",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,85,1,1,1,1,100,1,"Control",0
2018,"T308601105",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,87,1,1,1,1,400,1,"Control",0
2018,"T307005097",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,87,1,1,1,1,50,1,"Control",0
2018,"T301602107",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T301907112",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T304901100",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T304905101",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,87,1,1,1,1,80,1,"Control",0
2018,"T304906102",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T302409104",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,100,1,1,1,1,50,1,"Control",0
2018,"T307103093",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T307705126",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,120,1,"Control",0
2018,"T307003117",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,80,1,1,1,1,200,1,"Control",0
2018,"T305007121",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,88,1,1,1,1,150,1,"Control",0
2018,"T305004118",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,80,1,1,1,1,125,1,"Control",0
2018,"T305006119",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,80,1,1,1,1,80,1,"Control",0
2018,"T304707129",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,350,1,"Control",0
2018,"T307006116",1,2,5000,4.30000019073486,1,2,NA,NA,NA,NA,5,15,12,100,3000,1,1,1,1,95,1,1,1,1,250,1,"Control",0
2018,"T304802122",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,88,1,1,1,1,250,1,"Treatment",1
2018,"T302004124",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,250,1,"Control",0
2018,"T307003115",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,150,1,"Control",0
2018,"T306708132",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,150,1,"Control",0
2018,"T304705128",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,350,1,"Control",0
2018,"T307705125",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,300,1,"Control",0
2018,"T302608007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302606012",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T309009013",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302608003",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T300409001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T300404011",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T300601005",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302607006",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302609002",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,76,1,1,1,1,250,2,"Control",0
2018,"T309303010",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T303603009",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302602008",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T309304113",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,87,1,1,1,1,300,1,"Control",0
2018,"T307001095",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,85,1,1,1,1,90,1,"Control",0
2018,"T300901091",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,80,1,1,1,1,100,1,"Treatment",1
2018,"T307808108",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,71,1,1,1,1,500,1,"Control",0
2018,"T304707109",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Control",0
2018,"T301906103",1,10,1600,3.59999990463257,2,2,NA,NA,NA,NA,0,0,0,300,3000,1,2,1,1,87,1,1,1,1,80,1,"Control",0
2018,"T301808002",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,74,1,2,1,1,285,3,"Control",0
2018,"T301106005",1,9,20000,3.5,1,1,2065,3500,3.5,1,18,10,16,50,3000,1,2,1,1,100,1,1,1,1,293,3,"Control",0
2018,"T307408001",1,10,2500,3.5,1,1,2064,2500,3.5,1,18,15,25,10,2500,1,2,1,1,74,1,1,1,1,248,3,"Control",0
2018,"T303505004",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,74,1,1,1,1,1163,3,"Control",0
2018,"T302501007",1,11,15000,3.5,1,1,2063,15000,3.5,1,19,18,18,13,25000,1,2,1,1,74,1,1,1,1,75,3,"Control",0
2018,"T303906006",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,"Control",0
2018,"T304308003",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,74,1,1,1,1,273,3,"Control",0
2018,"T305001120",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,80,1,1,1,1,10000,1,"Treatment",1
2018,"T304802123",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,88,1,1,1,1,150,1,"Treatment",1
2018,"T305001121",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,80,1,1,1,1,850,1,"Control",0
2018,"T304706130",1,NA,4000,4.80000019073486,1,2,NA,NA,NA,NA,0,0,0,200,0,2,2,1,1,90,1,1,1,1,500,1,"Control",0
2018,"T304706131",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,200,1,"Control",0
2018,"T304702127",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,88,1,1,1,1,100,1,"Control",0
2018,"T300406135",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,80,1,1,1,1,700,1,"Treatment",1
2018,"T300406089",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,90,1,1,1,1,700,1,"Treatment",1
2018,"T301503134",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,120,1,"Control",0
2018,"T304705090",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,90,1,1,1,1,100,1,"Control",0
2018,"T305004088",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,1,1000,1,"Control",0
2018,"T301503081",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,78,1,1,1,1,210,1,"Control",0
2018,"T303907079",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,100,1,1,2,1,150,1,"Control",0
2018,"T301502085",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,90,1,1,1,1,25,1,"Control",0
2018,"T301001084",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,2,90,1,1,1,1,50,1,"Control",0
2018,"T304807087",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,78,1,1,1,1,200,1,"Control",0
2018,"T304804086",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,87,1,1,1,1,30,1,"Control",0
2018,"T304808083",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,75,1,1,1,1,80,1,"Control",0
2018,"T304808082",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,70,1,1,1,1,50,1,"Control",0
2018,"T301503080",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,1,78,1,1,1,1,70,1,"Control",0
2018,"T305105014",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T309006004",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,74,1,1,1,1,190,2,"Control",0
2018,"T305102015",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T309504024",2,NA,NA,NA,NA,1,2068,1500,8,1,14,16,15,150,4500,2,2,1,1,74,1,1,1,1,440,2,"Control",0
2018,"T302608050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,74,2,1,2,1,55,2,"Control",0
2018,"T300401028",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T305104033",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,81,1,1,1,1,100,2,"Control",0
2018,"T300607023",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T305404025",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,74,2,2,2,2,105,2,"Control",0
2018,"T309904032",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,85,1,2,2,1,200,2,"Control",0
2018,"T300603032",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,74,2,2,2,1,200,2,"Control",0
2018,"T301911010",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,87,1,1,1,1,775,3,"Treatment",1
2018,"T306004001",1,10,5000,4,1,2,NA,NA,NA,NA,20,18,20,150,1200,2,2,1,1,88,1,1,1,1,190,2,"Treatment",1
2018,"T305607002",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,88,1,1,1,1,560,2,"Treatment",1
2018,"T300307001",1,3,2500,4,1,2,NA,NA,NA,NA,20,20,20,80,100,2,2,1,1,87,1,1,1,1,300,2,"Treatment",1
2018,"T304802030",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,83,1,1,1,1,65,1,"Treatment",1
2018,"T306102001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,88,1,1,1,1,375,2,"Treatment",1
2018,"T305519001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,"Treatment",1
2018,"T305607004",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,87,1,1,1,1,240,2,"Treatment",1
2018,"T302806050",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,88,1,1,1,1,265,1,"Treatment",1
2018,"T306102002",1,2,2500,4,1,2,NA,NA,NA,NA,20,20,20,100,8000,2,2,1,1,87,1,1,1,1,162,2,"Treatment",1
2018,"T309708020",1,4,1100,4,1,2,NA,NA,NA,NA,8,15,20,100,20000,2,1,1,1,83,1,1,1,1,390,1,"Treatment",1
2018,"T305607005",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Treatment",1
2018,"T308705001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,92,1,1,1,1,50,2,"Treatment",1
2018,"T305602003",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Treatment",1
2018,"T308707002",1,6,3000,4,1,2,NA,NA,NA,NA,20,20,20,200,50000,1,1,1,1,90,1,1,1,1,2400,2,"Treatment",1
2018,"T305602001",1,5,4000,4.5,1,2,NA,NA,NA,NA,5,5,5,40,15000,2,2,1,1,76,1,1,1,1,3000,2,"Control",0
2018,"T303007001",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,79,1,1,1,1,1200,2,"Treatment",1
2018,"T300508099",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,78,1,1,1,1,3000,3,"Treatment",1
2018,"T308703001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,90,1,1,1,1,80,2,"Treatment",1
2018,"T302608032",1,2,4000,3,1,2,NA,NA,NA,NA,4,4,0,100,5000,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302608033",1,NA,NA,6,1,2,NA,NA,NA,NA,4,5,0,100,2000,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302609007",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,74,1,1,1,1,200,2,"Control",0
2018,"T302603034",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,78,1,1,1,1,400,2,"Treatment",1
2018,"T302602009",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,95,1,1,1,1,500,2,"Treatment",1
2018,"T300608006",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,75,1,1,1,1,500,2,"Treatment",1
2018,"T301808003",1,16,1000,0,1,1,2058,2000,10,1,5,5,NA,100,20000,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,"Control",0
2018,"T301805004",1,4,2000,3.8199999332428,1,2,NA,NA,NA,NA,5,5,NA,5,600,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,"Control",0
2018,"T309306011",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,78,1,1,1,1,1500,2,"Control",0
2018,"T309306012",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,74,1,1,1,1,200,2,"Treatment",1
2018,"T300608033",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,75,1,1,1,1,2000,2,"Treatment",1
2018,"T303608010",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,75,1,1,1,1,500,2,"Control",0
2018,"T305404026",1,3,3000,4,1,2,NA,NA,NA,NA,5,5,5,100,20000,2,2,1,1,78,1,1,1,1,500,2,"Control",0
2018,"T300901112",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,77,1,1,1,1,3000,2,"Control",0
2018,"T300901113",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,77,1,1,1,1,15000,2,"Treatment",1
2019,"T306004001",1,8,5000,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Treatment",1
2019,"T309708020",1,5,5000,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,1,1,2,2,700,1,"Treatment",1
2019,"T300608033",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,1,1,2,722,2,"Treatment",1
2019,"T302806050",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,125,1,1,1,2,163,1,"Treatment",1
2019,"T309306012",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,150,1,1,1,2,57,2,"Treatment",1
2019,"T300508099",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,97,2,1,1,2,52,3,"Treatment",1
2019,"T305602003",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Treatment",1
2019,"T300406135",1,2,5000,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,1,1,1,1,81,1,"Treatment",1
2019,"T306102002",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Treatment",1
2019,"T305607002",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,1,1,1,2,344,2,"Treatment",1
2019,"T308707002",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,1,1,1,2,300,2,"Treatment",1
2019,"T306102001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Treatment",1
2019,"T304802030",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Treatment",1
2019,"T305519001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,"Treatment",1
2019,"T301911010",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,95,1,1,1,1,400,3,"Treatment",1
2019,"T300307001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Treatment",1
2019,"T302602009",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Treatment",1
2019,"T304802122",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"Treatment",1
2019,"T308705001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,1000,2,"Treatment",1
2019,"T305001120",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,200,1,1,2,1,840,1,"Treatment",1
2019,"T303007001",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Treatment",1
2019,"T305607005",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,1,1,1,2,206,2,"Treatment",1
