"year","household_questionnaire_id","time_to_irrigate_1_katha__p_1","TreatmentControl","TC"
2019,"T302602009",60,"Treatment",1
2019,"T304802122",60,"Treatment",1
2019,"T308705001",60,"Treatment",1
2019,"T305001120",60,"Treatment",1
2019,"T303007001",60,"Treatment",1
2019,"T305607005",160,"Treatment",1
2019,"T300608006",60,"Treatment",1
2019,"T308703001",60,"Treatment",1
2019,"T300901113",60,"Treatment",1
2019,"T302603034",60,"Treatment",1
2019,"T305607004",90,"Treatment",1
2019,"T304802123",60,"Treatment",1
2019,"T304905099",1,"Control",0
2019,"T302608031",0,"Control",0
2019,"T304901100",0,"Control",0
2019,"T307408001",60,"Control",0
2019,"T301503134",60,"Control",0
2019,"T309504024",60,"Control",0
2019,"T304308003",60,"Control",0
2019,"T301503081",60,"Control",0
2019,"T302608029",0,"Control",0
2019,"T309009013",0,"Control",0
2019,"T302608003",0,"Control",0
2019,"T302607029",60,"Control",0
2019,"T306708132",60,"Control",0
2019,"T309303010",0,"Control",0
2019,"T303806078",0,"Control",0
2019,"T303807077",0,"Control",0
2019,"T302607006",0,"Control",0
2019,"T305104033",60,"Control",0
2019,"T302608032",60,"Control",0
2019,"T305102015",60,"Control",0
2019,"T300603032",0,"Control",0
2019,"T302608026",60,"Control",0
2019,"T305007121",0,"Control",0
2019,"T303505004",120,"Control",0
2019,"T304804086",0,"Control",0
2019,"T301503071",60,"Control",0
2019,"T304808083",60,"Control",0
2019,"T300409001",0,"Control",0
2019,"T304705090",90,"Control",0
2019,"T300607023",0,"Control",0
2019,"T300601005",60,"Control",0
2019,"T307001095",1,"Control",0
2019,"T300401028",0,"Control",0
2019,"T305602001",60,"Control",0
2019,"T303603009",0,"Control",0
2019,"T302606024",0,"Control",0
2019,"T301502070",60,"Control",0
2019,"T302609007",60,"Control",0
2019,"T305404026",60,"Control",0
2019,"T302608033",60,"Control",0
2019,"T304706131",60,"Control",0
2019,"T302606012",0,"Control",0
2019,"T304707109",0,"Control",0
2019,"T304705128",0,"Control",0
2019,"T301808003",60,"Control",0
2019,"T305105014",60,"Control",0
2019,"T302501007",60,"Control",0
2019,"T302608007",0,"Control",0
2019,"T302602008",0,"Control",0
2019,"T305006119",0,"Control",0
2019,"T307103093",0,"Control",0
2019,"T303906006",0,"Control",0
2019,"T304702127",0,"Control",0
2019,"T304706130",60,"Control",0
2019,"T302409104",0,"Control",0
2019,"T300509098",0,"Control",0
2019,"T300901112",60,"Control",0
2019,"T300902111",0,"Control",0
2019,"T301001084",90,"Control",0
2019,"T301805004",60,"Control",0
2019,"T301503073",0,"Control",0
2019,"T305004118",45,"Control",0
2019,"T304707129",90,"Control",0
2019,"T304807087",60,"Control",0
2019,"T302609002",45,"Control",0
2019,"T307006094",60,"Control",0
2019,"T304905101",0,"Control",0
2019,"T307705125",0,"Control",0
2019,"T303806076",60,"Control",0
2019,"T301502069",90,"Control",0
2019,"T301907112",0,"Control",0
2019,"T307707110",0,"Control",0
2019,"T307001096",0,"Control",0
2019,"T307808108",0,"Control",0
2019,"T307003117",60,"Control",0
2019,"T303907079",60,"Control",0
2019,"T308603106",0,"Control",0
2019,"T308601105",60,"Control",0
2019,"T301808002",60,"Control",0
2019,"T309904032",60,"Control",0
2019,"T307103092",60,"Control",0
2019,"T309304113",60,"Control",0
2019,"T303608010",60,"Control",0
2019,"T301502075",60,"Control",0
2019,"T305001121",30,"Control",0
2019,"T301502085",60,"Control",0
2019,"T301602107",0,"Control",0
2019,"T305004088",60,"Control",0
2019,"T301503080",60,"Control",0
2019,"T304808082",30,"Control",0
2019,"T301906103",90,"Control",0
2019,"T302608050",60,"Control",0
2019,"T309306011",60,"Control",0
2019,"T307705126",0,"Control",0
2019,"T304906102",0,"Control",0
2019,"T307005097",0,"Control",0
2019,"T302608030",0,"Control",0
2019,"T305404025",0,"Control",0
2019,"T302004124",0,"Control",0
2019,"T307006116",0,"Control",0
2019,"T300901091",60,"Treatment",1
2019,"T300406089",60,"Treatment",1
